"question","answer","explanation"
"Quel est le taux de dépistage de la tuberculose à Madagascar (données 2011 du cours) ?","Taux déclaré 133 / taux estimé 248 pour 100 000 = 53,6 %.","L’objectif est d’améliorer ce taux de dépistage."
"Quel est le mode de transmission principal de la tuberculose ?","Voie aérienne par les gouttelettes infectieuses produites par la toux des malades bacillifères (un malade contamine 10 à 15 personnes par an).","M. bovis peut aussi se transmettre par le lait de bétail."
"Quelles sont les trois catégories de cas de tuberculose selon la microscopie/localisation ?","TPM+ (pulmonaire microscopie positive), TPM– (pulmonaire microscopie négative), TEP (extra-pulmonaire).","Elles orientent le régime thérapeutique."
"Quelles sont les définitions de cas avant traitement ?","Nouveau cas (jamais traité) et retraitement (échec, rechute ou reprise après interruption ≥ 2 mois).","Les TEP et TPM– en retraitement sont rares."
"Quels sont les régimes thérapeutiques du PNLT Madagascar ?","Nouveau cas ≥ 20 kg : 2[ERHZ] + 4[RH] ; < 20 kg : 2[RHZ] + 4[RH] ; Retraitement : 2S[ERHZ] + 1[ERHZ] + 5[RH].","Posologies : H 5 mg/kg, R 10, S 15, E 20, Z 25 mg/kg."
"Quelles sont les 6 catégories de résultats en fin de traitement ?","Guéri, traitement terminé, échec, décédé, abandon, transfert.","Guéri + traitement terminé = traitement réussi."
"Quels sont les 5 éléments de la stratégie DOTS ?","1. Engagement politique 2. Dépistage microscopique des symptomatiques 3. Schéma standardisé sous observation directe (≥ 2 mois) 4. Approvisionnement régulier en médicaments 5. Système d’enregistrement et de notification standardisé.","C’est la stratégie la plus efficiente."
"Quels sont les 6 points de la stratégie « Halte à la tuberculose » ?","1. Extension/renforcement DOTS 2. Prise en charge TB-MR et co-infection TB/VIH 3. Renforcement du système de santé 4. Implication de tous les dispensateurs 5. Participation des patients et de la communauté 6. Encouragement de la recherche.","Elle vise l’accès universel au diagnostic et au traitement."
"Pourquoi l’incidence de la tuberculose est-elle 10 fois plus élevée chez les PVVIH ?","L’immunosuppression liée au VIH favorise la réactivation et la progression de l’infection tuberculeuse.","La collaboration TB/VIH est un pilier de la stratégie actuelle."
"Quelles sont les trois actions pour réduire la charge de la TB chez les PVVIH ?","Dépistage de la TB chez les PVVIH, prévention par isoniazide, et prévention de la transmission nosocomiale dans les services prenant en charge les PVVIH.","Symétriquement, on réalise le conseil-dépistage du VIH chez tous les patients TB."
