"question","answer","explanation"
"Quels sont les trois éléments constitutifs d’un médicament ?","Principe actif (effets pharmacologiques), excipient (support, influence sur l’effet thérapeutique) et adjuvant (désagrégeant, aromatisant, conservateur…).","L’excipient n’est pas toujours totalement inerte."
"Quelles sont les trois origines possibles du principe actif ?","Naturelle (animale, végétale, minérale), synthétique (reproduction artificielle) et semi-synthétique (substance naturelle rendue active, ex. ampicilline).","L’origine influence la production et le coût."
"Citez les principaux types d’excipients.","Agrégats (cohésion des comprimés), diluants/véhicules, intermèdes (émulsionnants, stabilité), colorants et conservateurs.","Ils permettent la réalisation physique et la conservation du médicament."
"Quels sont les principaux types de comprimés ?","Non enrobés, effervescents, enrobés, gastro-résistants et à libération prolongée (retard, continue, fractionnée ou programmée).","Le comprimé à libération prolongée se prend entier, sans le couper ni l’écraser."
"Quels sont les avantages et inconvénients de la forme solide ?","Avantages : facile, non invasive, économique. Inconvénients : impossible chez le comateux, risque de fausse route et mauvaise coopération en pédiatrie.","Le choix dépend de l’état et de l’âge du patient."
"Quelles sont les principales formes liquides selon le solvant ?","Aqueuses (solutions, limonades, tisanes, sirops), alcooliques (solutions, teintures, alcoolatures), huileuses (huiles médicinales) et formes complexes (mellites, potions, suspensions, émulsions).","Les formes liquides sont particulièrement pratiques en pédiatrie."
"Qu’est-ce qu’une gélule et une capsule molle ?","Gélule : enveloppe dure en deux parties cylindriques. Capsule molle : enveloppe plus épaisse.","Elles contiennent généralement une dose unitaire de principe actif."
"Citez des formes galéniques à usage local externe ou muqueux.","Pommade, crème, lotion, suppositoire, ovule, gargarisme, collutoire, collyre, onguent, emplâtre, patch.","Le patch peut rester en place jusqu’à 48 h."
"Quels critères guident le choix d’une forme galénique ?","État du patient (comateux…), âge, confort, paramètres physico-chimiques du principe actif, données de pharmacocinétique, avantages/inconvénients des voies, action attendue (rapide ou lente).","Le choix doit être adapté à chaque situation, sans schéma tout fait."
"Quels sont les avantages des formes à libération prolongée ?","Durée d’action plus longue (8-12 h), moins de prises quotidiennes, meilleure observance.","Il ne faut jamais les écraser ou les couper."
"Qu’est-ce qu’un saccharolé, une pastille et une tablette ?","Formes solides destinées à se désagréger lentement dans la cavité buccale (action locale ou systémique).","Elles pèsent généralement 1 à 3 g."
"Pourquoi les formes liquides sont-elles fragiles et encombrantes ?","Parce qu’elles nécessitent un conditionnement volumineux, sont sensibles à la contamination microbienne et à la dégradation chimique.","Les conservateurs sont souvent nécessaires."
