"question","answer","explanation"
"Quelle est la définition de l’améloblastome ?","Tumeur bénigne odontogène dérivant des améloblastes (épithélium odontogène), à malignité locale.","Elle comporte un risque élevé de récidive et de transformation maligne en cas d’exérèse incomplète."
"Quelle est la place de l’améloblastome parmi les tumeurs des maxillaires ?","C’est la première tumeur bénigne odontogène des maxillaires.","Âge moyen de découverte : 33 ans (pic 20-40 ans)."
"Quel est le siège préférentiel de l’améloblastome ?","Mandibule (80 %), principalement au niveau de l’angle ; maxillaire dans 20 % des cas.","La localisation mandibulaire est donc de loin la plus fréquente."
"Quelles sont les circonstances de découverte de l’améloblastome ?","Fortuite (évolution lente asymptomatique), tuméfaction, signes dentaires (mobilité, déplacement) ou fracture pathologique.","Il n’existe pas de signe clinique pathognomonique."
"Quels sont les caractères cliniques de la tuméfaction d’un améloblastome ?","Tuméfaction faisant corps avec l’os, indolore, peau saine, sans fistule ni adénopathie, de consistance variable selon le stade.","L’examen endobuccal montre un comblement vestibulaire et une tuméfaction de la table externe."
"Quel est l’aspect radiologique le plus évocateur de l’améloblastome sur le panoramique dentaire ?","Image multiloculaire / multilacunaire en « bulles de savon » (2/3 des cas) : lacunes arrondies confluentes séparées par des cloisons.","L’aspect uniloculaire (monogéodique) existe dans 1/3 des cas."
"Quel examen d’imagerie précise les rapports anatomiques de l’améloblastome ?","Tomodensitométrie (scanner).","Elle évalue l’extension endo-osseuse, les rapports avec les racines dentaires et les parties molles."
"Comment confirme-t-on le diagnostic d’améloblastome ?","Évocation radiologique (panoramique) + confirmation anatomopathologique.","Le panoramique oriente fortement le diagnostic."
"Quels sont les buts du traitement de l’améloblastome ?","Supprimer la tumeur, éviter les récidives et la transformation maligne, et pallier le préjudice fonctionnel et esthétique.","Le traitement est essentiellement chirurgical."
"Quelles sont les deux grandes méthodes chirurgicales de l’améloblastome ?","Méthodes conservatrices (énucléation, curetage, résection non interruptrice) et méthodes radicales (résection interruptrice segmentaire ou terminale).","Le choix dépend de la taille, du siège et du risque de récidive."
"Quels moyens de reconstruction sont utilisés après résection mandibulaire ?","Endoprothèse en titane, greffe osseuse non vascularisée et lambeaux.","La réhabilitation dentaire complète la prise en charge."
