"question","answer","explanation"
"Quelle est la définition du syndrome hémolytique et urémique ?","Association d’une insuffisance rénale progressive et d’une anémie hémolytique par microangiopathie thrombotique (avec thrombopénie).","Il réalise une microangiopathie thrombotique rénale."
"Quelle est la forme typique du SHU et son terrain ?","SHU post-diarrhéique de l’enfant (surtout entre 1 et 3 ans), lié à la shigatoxine d’Escherichia coli O157:H7.","Le pronostic rénal est généralement bon chez l’enfant."
"Quel est le pronostic du SHU de l’adulte ?","Pronostic réservé : mortalité de 25 % à la phase aiguë et évolution vers l’IRCT dans 60 % des cas.","Il s’agit le plus souvent d’un SHU atypique."
"Quel est le mécanisme physiopathologique du SHU typique ?","Lésion endothéliale induite par la shigatoxine → microangiopathie thrombotique → anémie hémolytique mécanique et thrombopénie.","La toxine est produite par E. coli O157:H7."
"Quel est le tableau clinique du SHU typique de l’enfant ?","Prodromes diarrhéiques (80 %) et fébriles (56 %) suivis d’une insuffisance rénale souvent anurique (50 %), HTA, œdèmes, troubles neurologiques (confusion, irritabilité) et pâleur.","La diarrhée précède de 2 à 7 jours les signes rénaux."
"Quels sont les signes biologiques de la microangiopathie thrombotique ?","Anémie normocytaire régénérative avec schizocytes, élévation des LDH et de la bilirubine, et thrombopénie.","Ces éléments définissent la MAT."
"Comment confirme-t-on l’étiologie infectieuse du SHU typique ?","Coproculture sur milieu spécifique et recherche de shigatoxine dans les selles par PCR.","E. coli O157:H7 est la bactérie la plus fréquente."
"Quelles sont les principales causes de SHU atypique de l’adulte ?","Infections (pneumocoque, VIH), grossesse, néoplasies, HTA maligne, maladies auto-immunes, médicaments et anomalies de la régulation du complément.","Le SHU atypique n’est pas précédé de diarrhée à shigatoxine."
"Quel est le principal diagnostic différentiel du SHU ?","Le purpura thrombotique thrombocytopénique (PTT) lié à un déficit sévère en ADAMTS-13.","Le PTT comporte plus de signes neurologiques et moins d’atteinte rénale sévère."
"Quel est le traitement du SHU typique de l’enfant ?","Traitement purement symptomatique : contrôle de l’HTA, dialyse si nécessaire, transfusions prudentes ; les antibiotiques ne sont pas systématiques.","La plupart des enfants récupèrent une fonction rénale normale."
"Quel est le traitement du SHU atypique ?","Échanges plasmatiques et/ou anticorps monoclonaux anti-C5 (éculizumab), en plus du traitement symptomatique.","Ces traitements ciblent la dysrégulation du complément."
