"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la paralysie flasque aiguë ?","Poser le diagnostic positif d’une PFA et citer la procédure à suivre devant une PFA.","La PFA fait l’objet d’une surveillance mondiale dans le cadre de l’éradication de la poliomyélite."
"Comment définit-on une paralysie flasque aiguë ?","Perte brutale de la motricité d’un membre ou d’une partie du corps, d’apparition récente, en dehors de tout contexte traumatique.","Elle s’accompagne de flaccidité, d’hypotonie, de ROT diminués ou abolis et d’une sensibilité conservée."
"Quels sont les éléments du diagnostic positif d’une PFA ?","Apparition soudaine d’une faiblesse ou paralysie localisée, flaccidité, hypotonie, ROT faibles ou abolis, RCP en flexion, sensibilité conservée.","Ces signes orientent vers une atteinte périphérique."
"Quels éléments d’interrogatoire sont prioritaires devant une PFA ?","Statut vaccinal anti-poliomyélite (nombre et dates des doses), voyage, immunodépression, épisode infectieux récent, mode d’installation (brutal, claudicant, post-infectieux).","Le statut vaccinal est crucial pour la surveillance de la polio."
"Quelles sont les principales catégories étiologiques d’une PFA ?","Atteinte de la corne antérieure (poliomyélite, amyotrophie spinale), neuropathie périphérique (Guillain-Barré, botulisme), transmission neuromusculaire (myasthénie), myopathie, et causes centrales rares.","Le syndrome de Guillain-Barré et la poliomyélite sont les deux principales hantises."
"Quels sont les signes cliniques orientant vers une poliomyélite antérieure aiguë ?","Fièvre, anorexie, céphalées, myalgies, déficit asymétrique à prédominance proximale des membres inférieurs, ROT diminués ou abolis, amyotrophie rapide.","Le diagnostic repose sur l’isolement du virus dans les selles ou la PCR."
"Quelle est la procédure obligatoire devant toute PFA chez un enfant de moins de 15 ans ?","Déclaration (fiche de renseignement), prélèvements de selles, et suivi de l’issue de la paralysie à 60 jours.","Cette procédure s’inscrit dans la stratégie d’éradication de la poliomyélite."
"Quels examens complémentaires demandez-vous selon l’orientation ?","Dosage des CPK, ponction lombaire, sérologies/PCR virales, électromyogramme, imagerie (TDM/IRM cérébrale ou médullaire).","L’EMG et l’IRM médullaire aident à localiser l’atteinte."
"Quel est le diagnostic différentiel principal d’une PFA asymétrique avec amyotrophie rapide ?","La poliomyélite antérieure aiguë.","Elle reste la hantise même dans les pays où la vaccination est généralisée."
"Quel est le message clé de conclusion ?","Toute PFA chez un enfant de moins de 15 ans est à déclaration obligatoire ; les étiologies sont nombreuses mais la poliomyélite reste la hantise ; l’analyse sémiologique minutieuse oriente le bilan.","La surveillance épidémiologique est un enjeu de santé publique mondiale."
