"question","answer","explanation"
"Quelle est la définition de l’hypospadias ?","Présence du méat urétral sur la face ventrale de la verge.","Il s’agit d’une anomalie de développement de toute la verge et non d’une simple malposition du méat."
"Quelle est la classification de Barcat de l’hypospadias selon la localisation du méat ?","Antérieure (70 %) : balanique, balano-préputiale, pénienne antérieure ; Moyenne (10 %) : pénienne moyenne ; Postérieure (20 %) : pénienne postérieure, pénoscrotale, scrotale, périnéale.","Cette classification guide le choix de la technique chirurgicale et le pronostic."
"Quel est l’aspect caractéristique du prépuce dans l’hypospadias ?","Prépuce en « tablier de sapeur », toujours ouvert sur la face ventrale.","Cet aspect est quasi constant et fait partie du diagnostic clinique."
"Qu’est-ce que la coudure de la verge dans l’hypospadias et pourquoi doit-elle être corrigée ?","Courbure ventrale de la verge liée à la rétraction du corps spongieux hypoplasique formant le « V » urétral. Elle doit être corrigée avant ou pendant la cure de l’hypospadias car elle minimise l’importance apparente de l’hypospadias et compromet la fonction.","La correction de la coudure est un temps essentiel de la chirurgie."
"Quand doit-on évoquer une ambiguïté sexuelle devant un hypospadias ?","Devant un hypospadias postérieur, ou un hypospadias antérieur associé à un micropénis ou à une ectopie testiculaire (même unilatérale).","Plus l’hypospadias est postérieur, plus le risque d’ambiguïté sexuelle est élevé (jusqu’à 30 %)."
"Quelle est la conduite à tenir initiale devant un hypospadias ?","Faire le diagnostic clinique, ne surtout pas réaliser de circoncision, et adresser l’enfant en consultation de chirurgie pédiatrique. En cas de suspicion d’ambiguïté sexuelle : caryotype et bilan endocrinien.","La circoncision est contre-indiquée car le prépuce est indispensable pour la reconstruction urétrale."
"Pourquoi la circoncision est-elle formellement contre-indiquée en cas d’hypospadias ?","Parce que le prépuce (en tablier de sapeur) est un matériau essentiel pour la reconstruction de l’urètre lors de la chirurgie correctrice.","Préserver le prépuce est une règle absolue."
"Quelles anomalies associées sont plus fréquentes dans les formes postérieures d’hypospadias ?","Ambiguïté sexuelle (environ 30 % des formes postérieures contre 5 % des formes antérieures).","Un bilan d’intersexuation s’impose dans les formes postérieures."
"Quels sont les deux processus embryologiques dont l’arrêt explique l’hypospadias ?","Arrêt de la fermeture de la gouttière urétrale (qui détermine la situation du méat) et arrêt de la croissance en longueur de la verge.","L’hypospadias résulte d’un double processus de blocage du développement de la verge."
"Quel est le risque principal si l’on ne corrige pas la coudure associée à l’hypospadias ?","Persistance d’une courbure ventrale qui compromet la fonction sexuelle et urinaire future, et sous-estime la gravité réelle de l’anomalie.","La coudure doit toujours être évaluée et traitée."
