"question","answer","explanation"
"question","answer","explanation"
"Quels sont les objectifs pédagogiques du TETU ?","Décrire les étapes du triage, identifier les enfants présentant des affections mettant immédiatement la vie en danger, et décrire le traitement du choc, de la convulsion et de la déshydratation grave.","La majorité des décès hospitaliers surviennent dans les 24 premières heures et sont évitables par un triage rapide."
"Quelles sont les trois catégories après le triage ?","Urgents (traitement immédiat), Prioritaires (évaluation et traitement rapides), Non urgents / Queue (peuvent attendre).","Le triage se fait avant toute procédure administrative."
"Que signifie le concept ABCD du triage ?","A = Voies Aériennes, B = Respiration (Breathing), C = Circulation / Coma / Convulsion, D = Déshydratation grave.","On traite immédiatement tout signe d’urgence avant de passer à l’étape suivante."
"Quels signes d’urgence recherche-t-on pour les voies aériennes et la respiration ?","Absence de respiration, obstruction des voies aériennes, cyanose centrale, détresse respiratoire grave (difficulté à parler/téter, tirage important, fatigue).","Ces signes imposent une libération des voies aériennes et de l’oxygène."
"Quels signes d’urgence concernent la circulation, le coma et les convulsions ?","Mains froides, TRC > 3 s, pouls faible et rapide ; coma (échelle AVPU) ; convulsion en cours.","AVPU : Alerte, Voix, Pain (douleur), Unresponsive."
"Quels sont les principaux signes de priorité ?","Nourrisson < 2 mois, forte fièvre, traumatisme, pâleur sévère, intoxication, douleur sévère, détresse respiratoire non grave, enfant irritable/léthargique, malnutrition grave, œdème des deux pieds, brûlures étendues, transfert urgent.","Ces enfants passent en premier dans la file d’attente."
"Comment traite-t-on un choc en l’absence de malnutrition sévère ?","Oxygène, chaleur, abord IV ou IO, remplissage RL ou SSI 20 ml/kg, réévaluation, 2ᵉ puis éventuellement 3ᵉ remplissage ou transfusion.","En cas de malnutrition sévère le protocole de remplissage est différent."
"Quel est le traitement d’urgence d’une convulsion ?","Libérer les voies aériennes, positionner l’enfant, diazépam 0,5 mg/kg par voie rectale (renouvelable après 10 min), vérifier et corriger la glycémie.","Hypoglycémie : < 2,5 mmol/l (enfant bien nourri) ou < 3 mmol/l (malnutri)."
"Quel est le plan C de réhydratation en l’absence de malnutrition et de choc ?","RL 30 ml/kg en 30 min-1 h selon l’âge, puis 70 ml/kg en 2 h 30-5 h ; SRO dès que l’enfant peut boire.","En malnutrition grave on évite les solutés IV de grande quantité."
"Quel est le message clé de conclusion ?","Trier pour éviter les décès ; concept ABCD pour les urgences ; traiter immédiatement tout signe d’urgence ; prioriser les cas prioritaires ; un bon triage sauve des vies.","La réévaluation ABCD doit être continue car l’état de l’enfant est dynamique."
