"question","answer","explanation"
"Quels sont les objectifs pédagogiques devant une hématurie de l’enfant ?","Affirmer la présence d’une hématurie, déterminer son origine (glomérulaire ou non) et rechercher l’étiologie.","C’est l’un des motifs de consultation néphrologique les plus fréquents."
"Comment confirme-t-on une hématurie ?","BU positive pour l’hémoglobine, ECBU > 5 GR/mm³ ou compte d’Addis > 5 000 GR/min (microscopique) / > 500 000 GR/min (macroscopique).","Il faut éliminer les fausses hématuries (aliments, médicaments)."
"Quels éléments cliniques aident à préciser le caractère de l’hématurie ?","Début, durée, couleur (bouillon sale, porto), présence de caillots, caractère initial/terminal/total, ATCD personnels et familiaux, notion de traumatisme.","L’hématurie totale sans caillot oriente vers une origine glomérulaire."
"Quelles sont les principales causes d’hématurie glomérulaire ?","GNA, purpura rhumatoïde, syndrome d’Alport, maladie de Berger (néphropathie à IgA).","L’étude morphologique des hématies (déformées) oriente vers l’origine glomérulaire."
"Quelles sont les principales causes d’hématurie non glomérulaire ?","Infections (cystite, PNA, bilharziose), lithiase, tumeurs (néphroblastome), polykystose, traumatisme, thrombose vasculaire, drépanocytose, troubles de coagulation.","L’échographie abdominale est systématique."
"Comment confirme-t-on une protéinurie pathologique ?","BU positive puis quantification sur 24 h : > 100 mg/m²/j chez l’enfant (> 300 mg/m²/j chez le nouveau-né).","La protéinurie physiologique est inférieure à ces seuils."
"Comment distingue-t-on protéinurie glomérulaire et tubulaire ?","Glomérulaire : riche en albumine. Tubulaire : protéines de bas poids moléculaire (α1, β2-microglobuline), albumine < 60 %.","Cette distinction oriente le bilan étiologique."
"Qu’est-ce qu’une protéinurie fonctionnelle ?","Protéinurie intermittente ≤ 0,5 g/l, accompagnant une affection fébrile ou un effort intense, qui disparaît au contrôle à distance.","Elle ne nécessite pas d’exploration approfondie."
"Quel est le tableau typique de la néphrose lipoïdique ?","Enfant de 3-10 ans, syndrome néphrotique (protéinurie > 50 mg/kg/j, albuminémie < 30 g/l, protidémie < 50 g/l), évolution favorable sous corticothérapie dans 85 % des cas.","C’est la cause la plus fréquente de syndrome néphrotique de l’enfant."
"Qu’est-ce qu’une protéinurie orthostatique ?","Protéinurie ≤ 1 g/24 h, intermittente, présente en orthostatisme et absente après le coucher, confirmée par deux prélèvements (nocturne et diurne) à quelques mois d’intervalle.","Elle est bénigne et ne nécessite pas de traitement."
