"question","answer","explanation"
"Quelles sont les deux grandes études analytiques d’observation ?","L’étude de cohorte et l’étude cas-témoins.","Elles comparent des groupes pour mettre en évidence une association entre exposition et maladie."
"Qu’est-ce qu’une cohorte ?","Un groupe d’individus suivis pendant une période de temps définie.","On constitue un groupe exposé et un groupe non exposé."
"Quel est le principe d’une étude de cohorte ?","Constitution de deux groupes (exposé / non exposé), suivi longitudinal, mesure de l’incidence de la maladie dans chaque groupe, puis calcul du risque relatif (RR).","Le RR = incidence chez les exposés / incidence chez les non exposés."
"Comment interprète-t-on qualitativement un RR ?","RR > 1 → facteur de risque ; RR < 1 → facteur de protection ; RR = 1 → absence d’association.","L’interprétation quantitative est possible (ex. RR = 2 → risque deux fois plus élevé)."
"Quelles sont les deux formes d’étude de cohorte ?","Prospective (suivi réel par le chercheur) et rétrospective (exploitation de données déjà existantes).","La rétrospective permet d’obtenir des résultats plus rapidement."
"Quelles sont les indications principales de l’étude de cohorte ?","Besoin d’une valeur quantitative du risque, maladie fréquente avec facteur d’exposition rare. La forme rétrospective est utile pour les investigations d’épidémie.","L’inconvénient majeur de la prospective est sa durée et son coût."
"Quel est le principe d’une étude cas-témoins ?","Recrutement de cas (malades) et de témoins (non malades issus de la même population source), recherche rétrospective de l’exposition, comparaison des fréquences d’exposition et calcul de l’Odds Ratio (OR).","L’OR = cote d’exposition chez les cas / cote d’exposition chez les témoins."
"Comment interprète-t-on qualitativement un OR ?","OR > 1 → association positive (facteur de risque) ; OR < 1 → facteur de protection ; OR = 1 → absence d’association.","Contrairement au RR, on ne fait pas d’interprétation quantitative de l’OR."
"Quelles sont les indications de l’étude cas-témoins ?","Maladie rare avec plusieurs facteurs d’exposition possibles, besoin rapide de résultats (investigation d’épidémie).","Elle ne permet pas d’obtenir la valeur réelle du risque et pose des difficultés pour établir le lien temporel."
"Quelle est la principale différence de mesure d’association entre cohorte et cas-témoins ?","Cohorte → Risque Relatif (RR) ; Cas-témoins → Odds Ratio (OR).","Le RR est une mesure directe du risque ; l’OR est une approximation utile surtout pour les maladies rares."
"Pourquoi l’étude cas-témoins ne permet-elle pas d’obtenir la valeur réelle du risque ?","Parce qu’on part de la maladie (cas) pour remonter à l’exposition, et non de l’exposition pour observer l’incidence de la maladie.","Seule la cohorte mesure directement les incidences."
"Dans une étude cas-témoins, d’où doivent provenir les témoins ?","De la même population source que les cas.","Cela garantit la comparabilité des groupes."
