"question","answer","explanation"
"Quels sont les objectifs pédagogiques du SHU ?","Décrire les signes du SHU post-diarrhéique, poser le diagnostic positif, citer les étiologies et décrire les principes de prise en charge.","C’est la 1ʳᵉ cause d’IRA organique avant 3 ans."
"Quelle est la triade diagnostique du SHU ?","Anémie hémolytique mécanique (schizocytes, Hb < 10 g/dl), thrombopénie (< 150 000/mm³) et insuffisance rénale aiguë.","Elle définit la microangiopathie thrombotique."
"Quel est le SHU typique post-diarrhéique et son agent ?","90 % des cas, enfant < 3 ans, après diarrhée glairo-sanguinolente (J3-J15) due à E. coli O157:H7 producteur de Shiga-toxines (STEC).","Transmission alimentaire (viande insuffisamment cuite, lait non pasteurisé)."
"Quels sont les signes de la phase d’état ?","Pâleur, subictère, oligurie/anurie, œdèmes, HTA, hématurie, protéinurie. Parfois convulsions, colite hémorragique.","L’atteinte multi-viscérale aggrave le pronostic."
"Quelles sont les formes atypiques et secondaires ?","Atypique : pas de diarrhée, caractère familial, poussées, pronostic réservé. Secondaire : pneumocoque, shigelle, VIH, lupus, greffe, médicaments.","Le SHU atypique a un pronostic plus sévère."
"Quels sont les principes du traitement conservateur de l’IRA ?","Restriction hydrique (20 ml/kg + diurèse), restriction sodée et potassique, anti-HTA, résines ou salbutamol si hyperkaliémie, transfusion si Hb < 8 g/dl.","Plus de 50 % des enfants nécessitent une dialyse à la phase aiguë."
"Quelles sont les indications de l’épuration extra-rénale ?","Anurie, créatinine élevée (300-400 µmol/l), surcharge hydro-sodée, acidose, hyperkaliémie > 6 mmol/l.","La dialyse est souvent nécessaire 1 à 2 semaines."
"Quelle surveillance à long terme est obligatoire ?","Tension artérielle, protéinurie et créatininémie pendant 3 à 5 ans (puis au-delà).","Plus d’un tiers des enfants présentent HTA ou IRC à 15 ans."
"Quelles sont les mesures préventives ?","Viandes bien cuites, laits pasteurisés, hygiène des mains, éviter les baignades en eau contaminée, pas de ralentisseurs de transit ni d’antibiotiques systématiques.","La prévention alimentaire est essentielle."
"Quel est le message clé de conclusion ?","Tout enfant avec diarrhée sanglante + pâleur doit faire craindre un SHU ; le diagnostic repose sur la triade ; le traitement est symptomatique et le suivi à long terme est obligatoire.","Mortalité 2-5 %, séquelles chez près de 30 %."
