"question","answer","explanation"
"Quels sont les objectifs pédagogiques de l’état de choc chez l’enfant ?","Diagnostiquer un état de choc et prendre en charge.","La survie dépend des premiers gestes réalisés dans la première heure."
"Comment définit-on l’état de choc ?","Perfusion tissulaire insuffisante dont le retentissement métabolique et énergétique entraîne l’altération puis la défaillance des fonctions organiques aboutissant à une défaillance multi-viscérale.","La réponse au traitement s’évalue sur la qualité de la perfusion tissulaire."
"Quels sont les cinq mécanismes d’état de choc ?","Hypovolémie, défaillance ventriculaire (cardiogénique), septique (réduction des résistances vasculaires), anaphylactique et obstructif.","Chaque mécanisme impose une stratégie thérapeutique différente."
"Quels sont les signes d’hypoperfusion tissulaire ?","TRC allongé, froideur et cyanose des extrémités, teint grisâtre, marbrures, oligurie (< 1 ml/kg/h si < 30 kg), polypnée, hypotonie ou irritabilité.","Ces signes précèdent souvent l’hypotension."
"Quels sont les signes du choc compensé versus décompensé ?","Compensé : TA normale, tachycardie (premier signe), vasoconstriction (extrémités froides, pouls distaux faibles). Décompensé : hypotension + troubles de conscience → arrêt cardiaque imminent.","Chez l’enfant la tachycardie est le premier signe de choc."
"Quels sont les objectifs immédiats du traitement d’un choc ?","Assurer oxygénation et ventilation, ramener FC et TA dans les normes pour l’âge, rétablir la perfusion tissulaire (conscience normale, diurèse > 1 ml/kg/h, TRC < 2 s).","Tout se joue dans la première heure."
"Quelle est la conduite à tenir initiale commune à tout choc ?","Libération des voies aériennes, oxygène (SpO2 > 95 %), voie veineuse (périphérique si compensé, intra-osseuse si décompensé), expansion volémique par NaCl 0,9 % 20 ml/kg rapide sauf si choc cardiogénique.","Le remplissage est contre-indiqué en cas d’insuffisance cardiaque congestive."
"Comment traite-t-on un choc septique ?","Remplissage répété par NaCl 20 ml/kg jusqu’à 60 ml/kg avec réévaluation, antibiothérapie empirique IV après prélèvements, puis noradrénaline ou dopamine si réfractaire + transfert en réanimation.","Le choc septique est particulièrement grave chez l’enfant."
"Comment traite-t-on un choc cardiogénique ?","Restriction hydrique, furosémide IV, dobutamine ± dopamine, échographie cardiaque dès que possible. Pas de remplissage.","Le diagnostic repose sur l’hépatomégalie, l’OAP ou le bruit de galop."
"Comment traite-t-on un choc anaphylactique ?","Arrêt de l’allergène, adrénaline IM 0,01 mg/kg, adrénaline en perfusion continue si échec, salbutamol si bronchospasme, méthylprednisolone 1-2 mg/kg IV.","L’adrénaline IM est le traitement de première intention."
