"question","answer","explanation"
"Quelle est la définition de la transfusion sanguine ?","Acte médical thérapeutique consistant à introduire du sang ou un produit dérivé du sang manquant dans un organisme receveur à partir d’un organisme donneur (homologue) ou du patient lui-même (autologue).","Elle peut être simple, associée à une saignée (échange transfusionnel) ou limitée à une saignée."
"Quelles sont les précautions biologiques obligatoires avant une transfusion ?","Groupage ABO-Rh, phénotypage Rh-Kell (éventuellement élargi), recherche d’agglutinines irrégulières (RAI), compatibilité au laboratoire et cross-match ultime au lit du malade.","Ces examens visent à prévenir les accidents immunologiques."
"Quels sont les critères de sélection d’un donneur de sang ?","Âge 18-60 ans, poids > 50 kg, bon état général, absence de grossesse/allaitement récent, absence de comportements à risque, d’antécédents cardiaques ou hématologiques, et de facteurs d’exposition infectieuse (tatouage, piercing, chirurgie récente…).","La sélection protège à la fois le donneur et le receveur."
"Quels sont les principaux produits sanguins labiles (PSL) ?","Sang total, concentré de globules rouges, concentré plaquettaire, concentré leucocytaire et plasma frais.","Ils ont une durée de vie limitée et nécessitent des conditions strictes de conservation."
"Quelles sont les indications du concentré de globules rouges ?","Anémie importante d’origine médicale, chirurgicale ou obstétricale lorsque la restitution de la capacité de transport de l’oxygène apparaît cliniquement nécessaire.","Conservation : 35 jours à 2-8 °C."
"Quelles sont les indications du concentré plaquettaire ?","Thrombopénies centrales (seuil préventif 10 G/L, 50 G/L en cas de saignement ou de chirurgie), thrombopénies périphériques avec hémorragie, et certaines thrombopathies.","Posologie : 0,7 à 1 × 10¹¹ plaquettes / 10 kg de poids."
"Quelles sont les indications du plasma frais congelé ?","Anomalies profondes de l’hémostase avec hémorragie ou geste à risque, coagulopathies de consommation, déficits en facteurs non disponibles sous forme concentrée, microangiopathies thrombotiques (PTT, SHU).","Il doit être transfusé dans les 6 heures suivant la décongélation."
"Quels sont les principaux produits sanguins stables et leurs indications ?","Fraction I (fibrinogène), fraction riche en facteur VIII, immunoglobulines, albumine (dénutrition, chocs, œdèmes), PPSB (déficits en facteurs vitamine K-dépendants, surdosage en AVK).","Ils sont obtenus par fractionnement du plasma."
"Quels sont les trois grands types de complications de la transfusion ?","Complications immunologiques (hémolyse, TRALI, allergies, thrombopénie post-transfusionnelle), complications infectieuses (bactériennes immédiates ou virales/parasitaires tardives) et accidents de surcharge (volémique, en citrate, en fer).","La prévention repose sur une sélection rigoureuse des donneurs, un respect strict des règles de compatibilité et une surveillance attentive."
"Quels sont les paramètres de surveillance d’un patient transfusé ?","Constantes vitales (TA, FC, FR, température), état cutané, diurèse, signes fonctionnels (angoisse, douleurs lombaires, dyspnée, frissons) et, après transfusion, contrôle de l’efficacité biologique et recherche d’éventuelle immunisation (RAI).","Toute anomalie doit faire interrompre immédiatement la transfusion."
