"question","answer","explanation"
"What is a medical prescription?","A health-care programme implemented by a physician or other medical practitioner that gives instructions for the plan of care of an individual patient, including the order to take certain medications.","It has legal implications and may be handwritten or preprinted."
"What mandatory information must appear on a prescription?","Identification as a prescription, name and address of the prescribing provider, registration number, and the name of the patient.","A unique registration number is obtained after registration with the National Council of Doctors."
"What does the abbreviation q.d. mean?","Quaque die = once a day.","One of the classic Latin frequency abbreviations."
"What does b.i.d. stand for?","Bis in die = two times a day.","Common frequency notation."
"What does t.i.d. mean?","Ter in die = three times a day.","Used for drugs taken three times daily."
"What does q.i.d. mean?","Quater in die = four times a day (approximately every 6 hours).","Less commonly used nowadays but still appears on prescriptions."
"What is the meaning of the phrases “Dispense as written”, “Brand necessary” or “Do not substitute”?","The pharmacist must dispense the exact brand prescribed and is not allowed to substitute a generic equivalent.","Opposite of “substitution permitted”."
"Why is the patient’s age (and sometimes weight) important on a paediatric prescription?","Because the dose often depends on age and weight, especially in children under 12 or under 5 years.","It helps the pharmacist check the safety of the dose."
"What is a “refill” or “repeat” on a prescription?","Authorisation for the patient to obtain more of the same medication without a new prescription from the doctor.","The number of allowed repeats must be clearly stated."
"Who can communicate about a prescription?","Pharmacists and prescribers (physicians, nurses, caretakers, therapists…).","Clear communication optimises safety and efficacy."
"What additional elements may a modern prescription include besides the medication order?","Clinical assessments, laboratory tests and imaging studies relevant to the treatment.","The prescription is part of a broader care plan."
"Give an example of a simple prescription written in English.","GARDENAL tab 10 mg – 1 box – One tablet daily.","Drug name, strength, quantity and directions must be clear."
"What legal requirement must a doctor fulfil before being allowed to prescribe?","Registration with the National Council of Doctors to obtain a registration number (after taking the medical oath).","This number must appear on every prescription."
"What is the difference between “substitution permitted” and “Do not interchange”?","“Substitution permitted” allows the pharmacist to give a generic equivalent; “Do not interchange” (or DAW) forbids any substitution.","These phrases protect brand-name prescribing when medically necessary."
