"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la diarrhée aiguë du nourrisson et de l’enfant ?","Reconnaître la diarrhée aiguë, identifier les signes de gravité (surtout déshydratation) et traiter.","Ces trois points guident toute la prise en charge."
"Comment définit-on une diarrhée aiguë ?","Augmentation brutale de la fréquence (≥ 3 selles/24 h) et/ou du volume des selles.","Chez le nourrisson allaité, des selles molles grumeleuses après chaque tétée sont normales."
"Quels sont les deux grands mécanismes physiopathologiques de la diarrhée infectieuse ?","Sécrétoire (entérotoxines → ↑ AMPc/GMPc → sortie de Cl⁻) et entéro-invasif (lésion villositaire + inflammation).","Il existe aussi un mécanisme osmotique secondaire à la malabsorption."
"Quels sont les signes cliniques de déshydratation à rechercher ?","Fontanelle déprimée, yeux enfoncés/cernés, sécheresse des muqueuses, pli cutané persistant, tachypnée, tachycardie, oligurie, troubles de conscience, perte de poids rapide.","La classification repose sur le pourcentage de perte de poids et le nombre de signes présents."
"Comment classifie-t-on la sévérité de la déshydratation ?","Minime (< 5 % sans signe clinique), modérée (5-10 % + signes évidents), sévère (> 10 % + signes marqués ± choc).","Deux signes majeurs (léthargie, yeux enfoncés, incapacité à boire, pli très lent) = déshydratation sévère."
"Quel est le traitement de base de toute diarrhée aiguë ?","Réhydratation (SRO en première intention), zinc (20 mg/j > 6 mois ou 10 mg/j < 6 mois pendant 10-14 j), mesures hygiéno-diététiques et poursuite de l’alimentation.","Le zinc accélère la réparation de la muqueuse intestinale."
"Quels sont les plans de réhydratation selon la sévérité ?","Plan A (minime) : SRO 10 ml/kg par selle liquide en ambulatoire. Plan B (modérée) : SRO 75 ml/kg en 4 h (± SNG). Plan C (sévère) : Ringer lactate IV selon âge (30 ml/kg puis 70 ml/kg).","Si vomissements importants ou choc → voie IV d’emblée."
"Quels médicaments sont contre-indiqués ou inutiles dans la diarrhée aiguë de l’enfant ?","Lopéramide, AINS, antiseptiques intestinaux. Les antiémétiques ne sont pas recommandés en ambulatoire.","Ces médicaments n’ont aucune place et peuvent être dangereux."
"Quelles sont les principales étiologies infectieuses selon l’aspect des selles ?","Selles aqueuses : rotavirus, E. coli entérotoxinogène, vibrion. Selles glairo-sanglantes : Shigelle, Salmonelle, Campylobacter, E. coli entéro-invasif.","Les causes extra-digestives (ORL, urinaires, méningées) doivent toujours être recherchées."
"Quand prescrit-on des antibiotiques dans une diarrhée aiguë ?","Uniquement en cas de syndrome entéro-invasif fébrile ou de bactériémie (terrain à risque).","Les antibiotiques ne sont jamais systématiques."
