"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la pleurésie de l’enfant ?","Poser le diagnostic de pleurésie et orienter/argumenter les principales étiologies.","Elle est potentiellement grave en cas de détresse respiratoire associée."
"Quels sont les signes d’appel cliniques d’une pleurésie ?","Nourrisson : geignement, irritabilité, dyspnée, toux. Enfant : douleur thoracique en point de côté, dyspnée, toux sèche.","La douleur est souvent basithoracique et majorée par la toux ou l’inspiration."
"Quels sont les signes physiques du syndrome d’épanchement pleural liquidien ?","Diminution de l’ampliation thoracique, abolition des vibrations vocales, matité, diminution ou abolition du murmure vésiculaire ± souffle pleural.","Dans les épanchements de faible abondance l’examen peut être normal."
"Quel examen d’imagerie est systématique et pourquoi ?","L’échographie pleurale : confirme l’épanchement, évalue son abondance et son échogénicité (séreux ou purulent), recherche des cloisons et guide la ponction.","Elle est plus sensible que la radiographie pour les petits épanchements."
"Quels sont les signes de gravité d’une pleurésie ?","Détresse respiratoire (signes de lutte, SpO2 < 92 %), signes toxiniques, pleurésie de grande abondance avec déviation médiastinale, épanchement bilatéral, leucopénie.","Ces signes imposent une prise en charge urgente."
"Quand réalise-t-on une ponction pleurale ?","Systématiquement si l’épanchement mesure ≥ 1 cm ; en urgence avant les antibiotiques si possible. « La vérité est au bout de l’aiguille ».","Elle permet le diagnostic étiologique et l’évacuation du liquide."
"Quelles sont les indications du drainage pleural ?","Pleurésie de grande abondance avec déviation médiastinale, mauvaise tolérance clinique (signes de lutte, oxygéno-dépendance), ou aggravation sous traitement.","Le drainage est parfois associé à une fibrinolyse ou une chirurgie."
"Quels examens complémentaires demandez-vous en plus de la ponction ?","Bilan inflammatoire (NFS, CRP), hémocultures si fièvre, IDR si suspicion de tuberculose, PCR virale nasopharyngée selon le contexte, ionogramme et fonction rénale.","Ils orientent vers une cause infectieuse (la plus fréquente)."
"Quelles sont les principales catégories étiologiques à évoquer ?","Causes infectieuses (bactériennes, virales, tuberculeuses) en premier lieu, puis causes non infectieuses selon le contexte.","L’orientation se fait sur l’anamnèse, la clinique et l’analyse du liquide."
"Quel est le message clé de conclusion ?","Le diagnostic de pleurésie est le plus souvent facile (clinique + radio + échographie) ; la ponction est systématique dès que possible ; les causes infectieuses doivent être recherchées en priorité.","L’échographie pleurale est l’examen clé de confirmation et de guidage."
