"question","answer","explanation"
"Quels sont les objectifs pédagogiques des convulsions de l’enfant ?","Définir la convulsion, décrire les éléments de l’interrogatoire, citer les convulsions fébriles et apyrétiques, et décrire les trois gestes d’urgence.","Ces objectifs couvrent le diagnostic, la classification et la prise en charge immédiate."
"Quelle est la différence entre convulsion et crise épileptique ?","La convulsion est la manifestation motrice d’une crise (épileptique ou non). La crise épileptique est l’expression clinique d’une décharge neuronale excessive, paroxystique et synchrone.","Toute convulsion n’est pas forcément une épilepsie."
"Quels éléments essentiels recherchez-vous à l’interrogatoire devant une convulsion ?","Terrain (ATCD d’épilepsie, crise fébrile, souffrance périnatale), prodromes, durée, nombre de crises, type de crise (tonico-clonique, focale…), déficit post-critique, contexte (fièvre ou non).","L’interrogatoire oriente fortement le diagnostic étiologique."
"Quels sont les critères d’une crise fébrile simple ?","Âge 1-5 ans, durée < 15 min (souvent < 5 min), 1 seul épisode/24 h, crise généralisée, pas de déficit post-critique, pas d’ATCD neurologique, examen neurologique normal.","Aucun examen complémentaire n’est nécessaire et l’hospitalisation n’est pas systématique."
"Quels sont les critères d’une crise fébrile complexe ?","Présence d’au moins un des critères suivants : âge < 1 an, durée ≥ 15 min, ≥ 2 épisodes/24 h, début localisé, déficit post-critique, ATCD neurologiques ou examen neurologique anormal.","Elle impose une exploration complémentaire et une hospitalisation systématique."
"Quels sont les trois gestes d’urgence immédiats devant une convulsion ?","Position de sécurité (décubitus latéral gauche), libération des voies aériennes (aspiration, canule de Guedel si besoin) et oxygénothérapie + voie d’abord.","Ces gestes protègent les fonctions vitales avant tout traitement médicamenteux."
"Quel est le traitement médicamenteux de première intention pour arrêter une convulsion ?","Diazépam intra-rectal 0,5 mg/kg (max 10 mg), renouvelable une fois après 5 min si persistance. En cas d’échec : phénobarbital en dose de charge IV.","Le diazépam a un pic sérique rapide (≈ 6 min) par voie rectale."
"Devant quelles situations réalisez-vous une ponction lombaire en cas de convulsion fébrile ?","Âge < 6 mois, signes méningés, troubles du comportement, crise focale et/ou prolongée > 15 min avec déficit post-critique.","La PL ne doit pas retarder l’antibiothérapie ou l’antiviral si suspicion d’infection neuroméningée."
"Quelles sont les principales causes de convulsions apyrétiques ?","Troubles métaboliques (hypoglycémie, hypocalcémie, hypomagnésémie), traumatisme crânien, intoxication, encéphalopathie hypertensive, hématome sous-dural, anoxie cérébrale.","La glycémie capillaire doit être réalisée systématiquement et immédiatement."
"Quels diagnostics différentiels évoquez-vous devant des mouvements paroxystiques de l’enfant ?","Frissons, spasme du sanglot, myoclonies du sommeil, trémulations, syncope vagale convulsivante, mouvements anormaux non épileptiques.","Le spasme du sanglot survient typiquement entre 6 mois et 3 ans après un facteur déclenchant émotionnel."
