"question","answer","explanation"
"Quels sont les objectifs pédagogiques du syndrome néphrotique ?","Définir le syndrome néphrotique, décrire les signes de la néphrose lipoïdique et citer les principes de la prise en charge.","La néphrose lipoïdique représente 90 % des cas chez l’enfant."
"Comment définit-on un syndrome néphrotique ?","Protéinurie > 50 mg/kg/24 h + hypoalbuminémie < 30 g/l + hypoprotidémie < 60 g/l ± hyperlipidémie. Impur si HTA et/ou hématurie et/ou IRA.","C’est un syndrome clinico-biologique."
"Quels sont les signes cliniques de la néphrose lipoïdique typique ?","Enfant 2-6 ans, début brutal, œdèmes blancs mous prenant le godet (paupières, déclives), parfois anasarque, oligurie, BU positive. État général souvent conservé.","Facteurs déclenchants : infection, allergie, vaccination."
"Quels sont les résultats biologiques caractéristiques ?","Protéinurie massive, hypoalbuminémie < 30 g/l, hypoprotidémie < 60 g/l, hypercholestérolémie et hypertriglycéridémie, ↑ α2-globulines, ↓ gammaglobulines.","La NFS est normale ou montre une hypercoagulabilité."
"Quelles sont les indications de la ponction-biopsie rénale ?","Âge < 1 an, syndrome néphrotique impur, cortico-résistance (avant immunosuppresseurs).","Dans la néphrose typique pure la PBR n’est pas systématique."
"Quelles sont les principales complications ?","Hypovolémie/collapsus, infections (péritonite pneumococcique), thromboses (veineuses ou artérielles), IRA fonctionnelle, dénutrition et cassure de croissance.","L’hypoalbuminémie < 20 g/l favorise les thromboses."
"Quel est le schéma de corticothérapie de première intention ?","Prednisone 60 mg/m²/j (max 60 mg) 4 semaines, puis décroissance progressive sur 4 mois ½ au total.","Rémission = protéinurie < 0,15 g/24 h et albuminémie normale."
"Que faire en l’absence de rémission à 4 semaines ?","3 bolus de méthylprednisolone 1 g/1,73 m². Si échec → cortico-résistant → immunosuppresseurs. Si rechutes fréquentes ou dépendance → immunosuppresseurs ou décroissance très lente.","La classification cortico-sensible / résistant / dépendant guide le traitement."
"Quelles mesures symptomatiques associez-vous ?","Restriction hydro-sodée, régime hyperprotidique, diurétiques si besoin, albumine si collapsus, anticoagulation si albumine < 20 g/l, vitamine D + calcium, déparasitage.","La mobilisation précoce limite le risque thrombotique."
"Quel est le message clé de conclusion ?","Le diagnostic repose sur la protéinurie massive + hypoalbuminémie ; la néphrose lipoïdique est cortico-sensible dans la majorité des cas ; la surveillance (poids, diurèse, BU, complications) est essentielle.","Informer les parents sur l’automesure de la protéinurie."
