"question","answer","explanation"
"Quelle est la définition de la sténose hypertrophique du pylore ?","Hypertrophie obstructive acquise et progressive de la couche musculeuse du pylore.","C’est une des causes chirurgicales les plus fréquentes de vomissements du nourrisson."
"Quels sont les signes cliniques caractéristiques de la sténose hypertrophique du pylore ?","Vomissements alimentaires, non bilieux, tardifs, explosifs (en jet), chez un nourrisson affamé ; constipation ; signes de déshydratation ; parfois palpation de l’olive pylorique et péristaltisme gastrique ondulant.","Le terrain typique est un garçon entre 2 semaines et 3 mois."
"Que montre l’échographie dans la sténose hypertrophique du pylore ?","Épaisseur de la musculeuse supérieure à 3 mm et longueur du canal pylorique supérieure à 14 mm.","L’échographie est l’examen de référence (gold standard)."
"Que montre l’ASP dans la sténose hypertrophique du pylore ?","Distension gastrique, faible aération du grêle et du côlon, hyperpéristaltisme gastrique.","Ce sont des signes indirects d’obstacle pylorique."
"Quels sont les troubles hydro-électrolytiques caractéristiques de la sténose hypertrophique du pylore ?","Alcalose métabolique avec hypokaliémie et hyponatrémie.","Ils résultent des vomissements répétés et doivent être corrigés avant la chirurgie."
"Quels sont les principes du traitement de la sténose hypertrophique du pylore ?","Correction préalable des désordres hydro-électrolytiques, puis pylorotomie extra-muqueuse (intervention de Fredet-Ramstedt) qui sectionne longitudinalement le muscle pylorique en respectant la muqueuse.","La chirurgie est une urgence différée : la réanimation est la seule urgence immédiate."
"Quelle est la conduite à tenir en cas de perforation duodénale peropératoire ?","Suture de la perforation, sonde naso-gastrique et reprise de l’alimentation 48 heures plus tard.","C’est la complication peropératoire la plus redoutée."
"Quelles sont les principales complications post-opératoires de la pylorotomie ?","Perforation duodénale, pylorotomie incomplète (vomissements persistants), hémopéritoine, péritonite, infection pariétale, éventration ou éviscération.","Une pylorotomie incomplète se manifeste par la persistance des vomissements sans amélioration."
"Quel est le pronostic de la sténose hypertrophique du pylore ?","Pronostic en général excellent, récidive exceptionnelle.","Après correction hydro-électrolytique et pylorotomie, l’évolution est favorable."
"Pourquoi la chirurgie de la sténose hypertrophique du pylore est-elle une urgence différée ?","Parce que la seule urgence immédiate est la correction de la déshydratation et des troubles hydro-électrolytiques ; l’intervention se fait une fois l’enfant stabilisé.","Opérer un enfant déshydraté et alcalosé expose à des risques anesthésiques majeurs."
