"question","answer","explanation"
"What does the mnemonic OPSHACOM stand for?","Opinion – Shape – Age – Colour – Origin – Material.","It helps remember the correct order of adjectives before a noun."
"What is the maximum recommended number of adjectives before a noun?","Three.","Using more than three adjectives sounds unnatural."
"Are adjectives plural in English?","No. Adjectives never take a plural form.","Example: “three red cars”, not “three reds cars”."
"Put the adjectives in the correct OPSHACOM order: a (leather, French, brown) briefcase.","a brown French leather briefcase.","Colour → Origin → Material."
"Put in order: a (silly, tall, Scottish) man.","a silly tall Scottish man.","Opinion → Shape/Size → Origin."
"Put in order: a (blue, Chinese, beautiful) bicycle.","a beautiful blue Chinese bicycle.","Opinion → Colour → Origin."
"Put in order: a (Swiss, golden, round) watch.","a round Swiss golden watch.","Shape → Origin → Material/Colour."
"Put in order: a (red, lovely) dress.","a lovely red dress.","Opinion → Colour."
"What category does the adjective “beautiful” belong to in OPSHACOM?","Opinion.","Opinion adjectives come first."
"What category does the adjective “French” belong to?","Origin.","Nationality or place of origin."
"What category does the adjective “leather” belong to?","Material.","Material adjectives come last."
"Correct the order if necessary: “a Chinese beautiful blue bicycle”.","a beautiful blue Chinese bicycle.","Opinion must come before colour and origin."
