"question","answer","explanation"
"Quelle est la définition de l’atrésie des voies biliaires ?","C’est une oblitération complète ou segmentaire de la voie biliaire principale extra-hépatique, associée à une oblitération plus ou moins étendue des voies biliaires intra-hépatiques et à une fibrose des espaces portes.","L’oblitération empêche le drainage biliaire normal et entraîne progressivement une cholestase puis une atteinte hépatique fibrosante."
"Quelle est la conséquence évolutive majeure d’une atrésie des voies biliaires non traitée au cours de la première année de vie ?","L’évolution se fait vers la cirrhose puis le décès.","La progression rapide de l’obstruction biliaire et de la fibrose rend la précocité du diagnostic et du traitement essentielle."
"Quelle anomalie syndromique est associée à l’atrésie des voies biliaires dans 5 à 10 % des cas ?","Le syndrome de polysplénie.","Le cours rapporte cette association dans une proportion minoritaire mais importante à rechercher."
"Quelles hypothèses étiopathogéniques sont évoquées dans l’atrésie des voies biliaires ?","Des hypothèses virale, génétique et immunologique sont évoquées.","L’étiologie reste inconnue selon le cours. Ces mécanismes sont donc présentés comme des hypothèses et non comme une cause établie."
"Quel est le mécanisme physiopathologique central de l’atrésie des voies biliaires ?","Une obstruction ou oblitération des voies biliaires entraîne une cholestase, puis une fibrose et une cirrhose biliaire avec altération progressive de la fonction hépatique.","La conséquence clinique directe de l’oblitération est l’accumulation de bile et l’apparition d’un ictère cholestatique."
"Quels sont les principaux signes cliniques de l’atrésie des voies biliaires ?","Un ictère persistant après deux semaines de vie, des selles décolorées, des urines foncées et une hépatomégalie.","Ce tableau correspond à une cholestase néonatale précoce et constitue un signal d’alarme nécessitant une prise en charge rapide."
"Quel caractère de l’ictère doit faire évoquer une atrésie des voies biliaires ?","Un ictère persistant après deux semaines de vie ou apparaissant très précocement, associé à des urines foncées et des selles décolorées.","Le cours considère l’association ictère pathologique, urines foncées et selles décolorées comme une urgence diagnostique et thérapeutique jusqu’à preuve du contraire."
"Quelle anomalie des selles est particulièrement évocatrice d’une atrésie des voies biliaires ?","La décoloration des selles, souvent complète et persistante.","Elle traduit l’absence ou la diminution du passage de la bile dans le tube digestif."
"Quels sont les signes d’une forme tardive d’atrésie des voies biliaires avec cirrhose décompensée ?","Hépatomégalie dure, splénomégalie, ascite, circulation collatérale et syndrome hémorragique, avec hypertension portale et insuffisance hépatocellulaire.","Ces signes correspondent aux conséquences de l’évolution fibrosante et de la décompensation hépatique."
"Quels éléments biologiques caractérisent la cholestase dans l’atrésie des voies biliaires ?","Une élévation de la bilirubine conjuguée et libre, des transaminases, de la gamma-glutamyl transférase et des phosphatases alcalines.","Le bilan biologique confirme le syndrome de cholestase et participe à l’évaluation de l’atteinte hépatique."
"Quelles anomalies peuvent être retrouvées à l’hémogramme et à l’inflammation ?","Une hyperleucocytose, une anémie et une CRP souvent élevée.","Ces anomalies sont rapportées dans le cours comme fréquemment associées à l’atrésie des voies biliaires."
"Quelle anomalie de l’hémostase est fréquemment retrouvée ?","Un taux de prothrombine bas.","L’atteinte hépatique peut entraîner une perturbation de la synthèse des facteurs de coagulation."
"Quel signe échographique est très évocateur d’une atrésie des voies biliaires ?","L’absence d’image vésiculaire.","Cependant, une échographie peut parfois être normale, ce qui signifie qu’une échographie normale n’exclut pas le diagnostic."
"Quelles sont les différentes possibilités de cholangiographie mentionnées dans le cours ?","La cholangiographie échoguidée, la cholangiographie rétrograde par voie endoscopique (CPRE) et la cholangiographie réalisée chirurgicalement.","La cholangiographie permet d’étudier l’anatomie et la perméabilité des voies biliaires dans le bilan diagnostique."
"Pourquoi l’IRM et la TDM ont-elles une place limitée dans l’atrésie des voies biliaires ?","Leur indication est rare car elles peuvent entraîner un retard de la prise en charge.","La priorité est d’établir rapidement le diagnostic et d’orienter l’enfant vers un milieu spécialisé."
"Quelle est la règle diagnostique importante à retenir devant une cholestase néonatale ?","Une cholestase doit faire considérer une atrésie des voies biliaires jusqu’à preuve du contraire.","Le cours insiste sur le caractère urgent du diagnostic afin de ne pas retarder le traitement chirurgical."
"Dans quel délai le diagnostic et la prise en charge doivent-ils idéalement être engagés ?","Ils doivent être essentiels avant 30 jours, avec transfert sans hésitation en milieu spécialisé.","La précocité de la prise en charge conditionne notamment les possibilités de succès de l’intervention de Kasai."
"Quel est le but du traitement de l’atrésie des voies biliaires ?","Rétablir un drainage biliaire efficace dans le tube digestif.","Le traitement cherche donc à restaurer l’écoulement de la bile avant l’installation ou l’aggravation de la cirrhose."
"Qu’est-ce que l’intervention de Kasai ?","C’est une hépato-port-entérostomie consistant à réséquer le reliquat fibreux de la voie biliaire jusqu’au hile et à aboucher une anse en Y au niveau du hile.","Elle constitue le principal traitement chirurgical lorsque le diagnostic et la prise en charge sont suffisamment précoces."
"Quand une transplantation hépatique est-elle indiquée selon le cours ?","En cas d’échec de l’intervention de Kasai ou lorsque le diagnostic et la prise en charge sont tardifs.","La transplantation devient nécessaire lorsque le drainage biliaire ne peut pas être restauré efficacement ou lorsque l’atteinte hépatique est trop avancée."
"Quels signes cliniques et biologiques témoignent d’une réussite de l’intervention de Kasai ?","Les selles deviennent successivement blanches, puis vertes et enfin jaune d’or, avec normalisation progressive de la bilirubinémie conjuguée.","Le retour de la pigmentation des selles et la diminution de la bilirubine conjuguée témoignent de la restauration progressive du drainage biliaire."
"Quels facteurs influencent le résultat de l’intervention de Kasai ?","Le type anatomique de l’atrésie, l’existence ou non d’un syndrome de polysplénie, l’âge au moment de l’intervention et l’expérience du centre.","Le pronostic est donc fortement influencé par l’anatomie et surtout par la précocité et la qualité de la prise en charge."
"Quelle est la complication précoce principale de l’hépato-porto-entérostomie ?","La cholangite.","Elle peut se manifester par une fièvre élevée, une nette altération de l’état général et évoluer rapidement vers une septicémie."
"Quelles complications tardives peuvent survenir après le traitement de l’atrésie des voies biliaires ?","Hypertension portale, bilomes intrahépatiques, échec complet de la chirurgie conservatrice, syndrome hépato-pulmonaire, hypertension artérielle pulmonaire et néoplasies.","Ces complications peuvent persister ou apparaître malgré le traitement initial, ce qui justifie une surveillance prolongée."
"Quels sont les signes cliniques de l’atrésie des voies biliaires ?","Ictère persistant après 2 semaines de vie, selles décolorées (complètes et persistantes), urines foncées et hépatomégalie.","Tout ictère pathologique du nouveau-né avec selles décolorées et urines foncées doit être considéré comme une atrésie des voies biliaires jusqu’à preuve du contraire : c’est une urgence diagnostique."
"Quelle est la définition de l’atrésie des voies biliaires ?","Oblitération complète ou segmentaire de la voie biliaire principale extra-hépatique, associée à une oblitération plus ou moins étendue des voies biliaires intra-hépatiques et à une fibrose des espaces portes.","Il s’agit d’une pathologie obstructive qui évolue rapidement vers la cirrhose biliaire et le décès dans la première année de vie si elle n’est pas traitée."
"Quels sont les éléments du diagnostic positif de l’atrésie des voies biliaires ?","Diagnostic clinique avant tout (cholestase néonatale précoce) + échographie (absence d’image vésiculaire très évocatrice) + biologie de cholestase + confirmation par cholangiographie (échoguidée, CPRE ou peropératoire).","Le diagnostic doit être posé avant 30 jours de vie pour permettre une intervention de Kasai dans de bonnes conditions."
"Quels sont les principes du traitement de l’atrésie des voies biliaires ?","Rétablir un drainage biliaire efficace dans le tube digestif. Moyens : vitaminothérapie (ADEK) et chirurgie (intervention de Kasai = hépato-porto-entérostomie). Transplantation hépatique en cas d’échec ou de diagnostic tardif.","L’intervention de Kasai doit être réalisée avant l’installation de la cirrhose pour offrir les meilleures chances de succès."
"Que consiste l’intervention de Kasai ?","Résection du reliquat fibreux de la voie biliaire jusqu’au hile hépatique et abouchement d’une anse jéjunale en Y au niveau du hile (hépato-porto-entérostomie).","C’est le traitement chirurgical de première intention qui vise à rétablir un flux biliaire vers l’intestin."
"Quels sont les signes d’une cirrhose décompensée au stade tardif de l’atrésie des voies biliaires ?","Hépatomégalie dure, splénomégalie, ascite, circulation collatérale et syndrome hémorragique (notamment risque d’hémorragie intracrânienne).","Ces signes traduisent l’hypertension portale et l’insuffisance hépatocellulaire secondaires à la cirrhose biliaire."
"Quelles sont les complications précoces de l’intervention de Kasai ?","Cholangite (fièvre élevée, altération de l’état général, septicémie rapide), fistules biliaires, ascite post-opératoire et récidive de la rétention biliaire.","La cholangite est la complication la plus fréquente et la plus grave en post-opératoire immédiat."
"Quelles sont les complications tardives de l’atrésie des voies biliaires traitée ?","Hypertension portale (par fibrose hépatique persistante), bilomes intra-hépatiques, syndrome hépato-pulmonaire avec hypertension artérielle pulmonaire, et risque de néoplasies.","Même après un Kasai réussi, une surveillance au long cours est indispensable car la fibrose peut progresser."
"Quel est le pronostic de l’atrésie des voies biliaires ?","Il dépend de la précocité du traitement et du type anatomique. Environ 1/3 des enfants vivent 10 ans avec leur foie natif ; la survie après transplantation hépatique dépasse 80 % à 5-10 ans.","Plus le diagnostic et l’intervention de Kasai sont précoces, meilleures sont les chances de conserver le foie natif."
"Pourquoi l’atrésie des voies biliaires est-elle une urgence diagnostique et thérapeutique ?","Parce qu’elle évolue rapidement vers la cirrhose biliaire et le décès dans la première année de vie si elle n’est pas traitée avant l’installation des complications.","Tout nouveau-né avec ictère prolongé + selles décolorées doit être orienté sans délai en milieu spécialisé."
