"question","answer","explanation"
"question","answer","explanation"
"Quelle est la définition d’une tumeur cérébrale ?","Néoformation développée dans la boîte crânienne, pouvant être intra-axiale (parenchyme) ou extra-axiale (extra-parenchymateuse).","Elle peut être primitive ou secondaire (métastase)."
"Quelle est l’incidence approximative des tumeurs cérébrales primitives ?","Environ 10 à 15 nouveaux cas pour 100 000 habitants par an.","L’incidence a augmenté ces dernières décennies."
"Quels sont les principaux facteurs de risque des tumeurs cérébrales ?","Radiations ionisantes, substances chimiques (nitrosamines), pesticides et facteurs génétiques (neurofibromatoses, Von Hippel-Lindau, Li-Fraumeni, Turcot).","Aucun facteur n’est retrouvé dans de nombreux cas."
"Comment classifie-t-on topographiquement les tumeurs cérébrales ?","Supratentorielles (85 %), infratentorielles (fosse postérieure, 10 %) et à cheval sur les deux étages.","La topographie conditionne la clinique et le traitement."
"Quels sont les signes cliniques évocateurs d’une tumeur cérébrale ?","Céphalées progressives, épilepsie inaugurale, déficits neurologiques d’installation progressive et signes d’HTIC.","L’épilepsie inaugurale de l’adulte doit faire rechercher une tumeur."
"Quels examens d’imagerie sont de référence pour les tumeurs cérébrales ?","Scanner injecté et surtout IRM (T1, T2, FLAIR, gadolinium) avec exploration de tout le névraxe.","L’IRM précise mieux les limites, l’œdème et l’extension."
"Quel est le seul examen qui apporte la certitude diagnostique de la nature d’une tumeur cérébrale ?","Examen anatomopathologique (biopsie ou pièce d’exérèse).","Il guide le traitement oncologique complémentaire."
"Quels sont les principes du traitement des tumeurs cérébrales ?","Chirurgie (exérèse ou biopsie), traitement médical symptomatique (corticoïdes, antiépileptiques, osmothérapie) et traitements oncologiques (radiothérapie, chimiothérapie, radiochirurgie).","Le pronostic dépend de l’histologie et de la localisation."
"Quel est le pronostic typique de quelques tumeurs cérébrales fréquentes ?","Méningiome : bon si exérèse totale ; métastase : mauvais ; glioblastome : très mauvais (médiane de survie environ 9 mois).","L’histologie est le facteur pronostique majeur."
