"question","answer","explanation"
"Quels sont les objectifs pédagogiques de l’asphyxie périnatale ?","Reconnaître une asphyxie périnatale, identifier le degré de gravité d’une encéphalopathie anoxo-ischémique (EAI) et entamer la prise en charge initiale d’une EAI.","Ces trois objectifs orientent le diagnostic et la conduite à tenir urgente."
"Comment définit-on l’asphyxie périnatale ?","Altération sévère des échanges gazeux à proximité de l’accouchement entraînant une hypoxie sévère, une acidose gazeuse puis métabolique et une hyperlactacidémie.","Elle se traduit cliniquement par une mauvaise adaptation à la naissance."
"Quel critère clinique principal permet de suspecter une asphyxie périnatale ?","Score d’Apgar < 7 prolongé au moins 5 minutes.","Ce critère n’est pas spécifique mais constitue le premier signal d’alerte."
"Quels sont les trois stades de la classification de Sarnat et leurs caractéristiques principales de conscience et de tonus ?","Stade I : conscience modérée, hyper/hypotonie modérée. Stade II : léthargie, hypotonie moyenne. Stade III : coma, hypotonie sévère.","La classification de Sarnat est la plus utilisée pour évaluer la gravité de l’EAI."
"Quels critères biologiques d’acidose sont retenus dans le diagnostic d’asphyxie ?","pH < 7,00 et/ou déficit de base ≥ 12 mmol/l et/ou lactatémie > 6 mmol/l.","Ces seuils confirment l’acidose métabolique sévère."
"Quel est le pronostic selon le stade de Sarnat ?","Stade I : > 90 % de survie sans séquelles. Stade II : 40-60 % de décès ou séquelles. Stade III : décès ou séquelles majeures quasi constants.","Le stade III conditionne le pronostic neurologique le plus péjoratif."
"Quelles sont les indications de l’hypothermie contrôlée ?","AG ≥ 36 SA et PN > 1800 g, admission ≤ 6 h de vie, Apgar ≤ 5 à M10 ou ventilation prolongée, signes d’encéphalopathie (Sarnat II ou III), acidose sévère (pH < 7 ou BD ≥ 16 ou lactates ≥ 11), anomalies EEG.","L’hypothermie est le seul traitement spécifique neuroprotecteur actuellement validé."
"Quels sont les principes pratiques de l’hypothermie contrôlée ?","Température cible 34-35,5 °C (idéalement 35,5 °C), début avant 6 h de vie, durée 72 h, puis réchauffement progressif de 0,5 °C/h sur 4-6 h.","Le respect strict de ces paramètres optimise l’effet neuroprotecteur."
"Quels traitements symptomatiques sont utilisés dans l’EAI ?","Restriction hydrique, correction de l’hypoglycémie et de l’hypocalcémie, phénobarbital 20 mg/kg IV puis 5 mg/kg, dobutamine si défaillance cardiaque, plasma frais congelé si CIVD, alimentation à jeun pendant l’hypothermie.","Ces mesures limitent les lésions secondaires et stabilisent les fonctions vitales."
"Quels sont les moyens de prévention de l’asphyxie périnatale ?","Surveillance intensive des grossesses à risque, monitoring et partogramme, accouchement dirigé, usage mesuré des médicaments et manœuvres obstétricales, réanimation immédiate du nouveau-né si respiration absente ou inefficace.","La prévention reste la meilleure stratégie dans les pays à ressources limitées."
