"question","answer","explanation"
"Quelle est la définition de la bilharziose ?","Anthropozoonose parasitaire due aux vers du genre Schistosoma (schistosomose ou schistosomiase), se présentant sous deux formes principales : intestinale et urinaire.","C’est la 2e endémie mondiale après le paludisme, classée parmi les maladies négligées."
"Quels sont les deux principaux agents de bilharziose présents à Madagascar et leurs localisations ?","Schistosoma haematobium (uro-génitale) : régions Ouest et Nord ; Schistosoma mansoni (intestinale) : Hautes Terres, Est et Sud.","Les hôtes intermédiaires sont respectivement Bulinus obtusispira et Biomphalaria pfeifferi."
"Quels sont les réservoirs de la bilharziose ?","Sujets infectés (hôtes définitifs, jusqu’à 20 ans) et mollusques infectés (hôtes intermédiaires, jusqu’à 3 mois).","La transmission passe par le contact avec des eaux contaminées."
"Quels sont les principaux facteurs de risque de bilharziose ?","Augmentation des zones irrigables, non-utilisation de latrines, manque d’hygiène et d’assainissement.","Ces facteurs favorisent le contact homme-eau infectée et le maintien du cycle."
"Quel est le traitement de référence de la bilharziose ?","Praziquantel en dose unique de 40 mg/kg par voie orale (efficacité 80-90 %).","Il est utilisé pour le traitement individuel et les campagnes de traitement de masse."
"Quelles sont les interventions recommandées pour lutter contre la bilharziose ?","Promotion de l’utilisation de latrines (IEC), aménagement du milieu pour réduire les gîtes de mollusques, traitement par molluscicides, mise en place de points d’eau saine.","La lutte vise tous les niveaux du cycle de transmission."
"Qu’est-ce que la méthode LQAS dans le diagnostic communautaire de la bilharziose ?","Lot Quality Assurance Sampling : recrutement aléatoire d’au moins 16 enfants de 5-15 ans, examen des selles ou urines.","Elle permet de classer rapidement une localité comme hyperendémique ou non."
"À partir de quel seuil de prévalence une localité est-elle considérée comme hyperendémique à Madagascar ?","Prévalence > 60 % (critère national ; le critère OMS est > 50 %).","Dans ce cas, on met en place un traitement de masse + molluscicides + eau saine."
"Comment définit-on un cas confirmé de bilharziose urinaire en zone d’endémie modérée ou forte ?","Hématurie évidente ou positive à la bandelette réactive, ou présence d’œufs de S. haematobium à l’examen microscopique des urines.","En zone de faible prévalence, le diagnostic de confirmation repose uniquement sur la microscopie."
"Pourquoi la VPP des symptômes non spécifiques de bilharziose augmente-t-elle avec la prévalence ?","Parce que la probabilité que ces symptômes soient dus à la schistosomiase s’accroît lorsque la maladie est plus fréquente dans la population.","C’est un principe général de la performance des tests en fonction de la prévalence."
