"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la fièvre prolongée de l’enfant ?","Définir la fièvre prolongée, mener une démarche diagnostique et citer les étiologies.","Le diagnostic est souvent difficile et inquiète beaucoup les parents."
"Comment définit-on une fièvre prolongée ?","Température élevée persistant plus de 15 jours sans évidence de cause.","Il faut la distinguer de la fièvre à répétition (intervalles libres) et de la thermopathomimie."
"Quels éléments d’interrogatoire sont prioritaires ?","Contexte (ethnie, voyage, ATCD, vaccinations, contage, contact animaux, habitudes alimentaires), caractéristiques de la fièvre (courbe, frissons, sueurs, arthralgies…) et traitements déjà reçus.","Certains aliments orientent vers des zoonoses (fromage → brucellose)."
"Quels points de l’examen physique ne faut-il jamais omettre ?","Tympans, fond d’œil, organes génitaux externes, anus (TR), aires ganglionnaires, peau, palpation et percussion des os.","L’examen doit être complet et répété."
"Quels examens de débrouillage demandez-vous en première intention ?","NFS, VS, hémocultures (×3), ECBU, recherche de sang occulte dans les selles, et conservation de plasma pour sérologies ultérieures.","Ces examens orientent vers une cause infectieuse, inflammatoire ou néoplasique."
"Quels examens de deuxième intention sont souvent utiles ?","Radiographie pulmonaire, IDR, recherche de BAAR, échographie abdominale, sérologies, scintigraphie osseuse.","Ils sont guidés par les données cliniques et le bilan initial."
"Quelles sont les principales étiologies non infectieuses de fièvre prolongée ?","Maladies inflammatoires chroniques (AJI, lupus, Crohn…), néoplasies (leucémies, lymphomes, neuroblastome), maladie de Kawasaki, fièvre médicamenteuse.","Les hémopathies et cancers doivent toujours être évoqués."
"Quelles sont les principales étiologies infectieuses de fièvre prolongée ?","Bactériennes : tuberculose, brucellose, endocardite, ostéomyélite, pyélonéphrite, abcès. Virales : hépatite, MNI, CMV, dengue, Chikungunya.","La tuberculose reste une cause classique à Madagascar."
"Quelle est la différence entre fièvre prolongée et fièvre à répétition ?","Fièvre prolongée : continuum > 15 jours. Fièvre à répétition : épisodes fébriles séparés par des intervalles libres (souvent viraux).","Cette distinction évite des bilans inutiles."
"Quel est le message clé de la démarche ?","La fièvre prolongée nécessite une anamnèse et un examen très soigneux, un bilan de débrouillage large, puis des examens orientés ; les causes infectieuses, inflammatoires et néoplasiques doivent être systématiquement évoquées.","La collaboration avec les spécialistes est souvent nécessaire."
