"question","answer","explanation"
"Quelle est la définition de l’atrésie du grêle ?","Interruption de la continuité digestive au niveau du jéjunum ou de l’iléon.","C’est une urgence diagnostique et thérapeutique néonatale qui expose au risque de syndrome de grêle court."
"Quels sont les arguments cliniques en faveur d’une atrésie du grêle ?","Vomissements bilieux précoces et ballonnement abdominal variable chez un nouveau-né.","Tout vomissement bilieux néonatal doit faire évoquer une occlusion et constituer une indication chirurgicale jusqu’à preuve du contraire."
"Que montre la radiographie d’abdomen sans préparation (ASP) en cas d’atrésie du grêle ?","Anses intestinales dilatées en amont et absence d’aération sous-jacente (au niveau du pelvis).","L’ASP confirme le siège de l’obstacle en montrant l’arrêt de l’aération intestinale."
"Quel est l’intérêt du lavement opaque dans le diagnostic d’atrésie du grêle ?","Il localise l’obstacle, élimine une atrésie colique et un iléus méconial.","Le lavement opaque fait partie du bilan d’une occlusion néonatale basse."
"Quels sont les principaux diagnostics différentiels d’une atrésie du grêle ?","Atrésie duodénale, iléus méconial, atrésie colique, volvulus sur malrotation ou sur mésentère commun, maladie de Hirschsprung.","Ces pathologies réalisent également un tableau d’occlusion néonatale et doivent être évoquées."
"Quels sont les principes de la prise en charge médicale initiale d’une atrésie du grêle ?","Position proclive, sonde naso-gastrique en aspiration, réhydratation, antibiothérapie et maintien d’une température adéquate.","Ces mesures stabilisent le nouveau-né avant le transfert en chirurgie."
"Quels sont les principes du traitement chirurgical de l’atrésie du grêle ?","Laparotomie (souvent transrectale) puis rétablissement de la continuité par anastomose termino-terminale ou termino-latérale après résection des zones pathologiques.","Le but est de lever l’obstacle tout en préservant le maximum de longueur intestinale pour limiter le risque de grêle court."
"Quelles sont les principales complications de l’atrésie du grêle ?","Perforation anténatale (péritonite méconiale), nécrose intestinale, entérocolite ulcéro-nécrosante et syndrome de grêle court.","Le syndrome de grêle court est la complication tardive la plus redoutée en cas de résections étendues."
"Quel est le pronostic de l’atrésie du grêle ?","Bon en général car les malformations associées sont rares. La reprise de l’alimentation se fait à la reprise du transit.","Le pronostic dépend surtout de la longueur de grêle restante et de l’absence de complications septiques."
"Pourquoi tout vomissement bilieux néonatal est-il considéré comme une indication chirurgicale jusqu’à preuve du contraire ?","Parce qu’il traduit une occlusion intestinale haute ou moyenne qui nécessite un diagnostic et un traitement urgents pour éviter les complications (perforation, nécrose, sepsis).","C’est une règle d’or en chirurgie pédiatrique néonatale."
