"question","answer","explanation"
"Quelles sont les quatre complications chirurgicales majeures de l’ulcère gastro-duodénal ?","Perforation, sténose, hémorragie et dégénérescence cancéreuse (surtout gastrique).","Elles font toute la gravité de la maladie ulcéreuse."
"Quels sont les principaux facteurs de risque de l’ulcère gastro-duodénal ?","Helicobacter pylori, AINS, syndrome de Zollinger-Ellison, hyperparathyroïdie, pancréatite chronique et cirrhose.","L’anamnèse de prise d’AINS est essentielle."
"Quelle est la fréquence de la perforation parmi les complications de l’UGD ?","Elle complique environ 10 % des UGD et est plus fréquente pour l’ulcère duodénal.","Elle réalise une péritonite chimique puis septique."
"Quels sont les signes cliniques de la perforation d’ulcère ?","Douleur brutale en « coup de poignard » épigastrique, nausées, vomissements, arrêt du transit, contracture abdominale, disparition de la matité pré-hépatique et cri du Douglas.","L’apyrexie initiale est classique."
"Quel signe radiologique est caractéristique de la perforation d’ulcère ?","Pneumopéritoine (présent dans 80 % des cas) sur l’ASP.","Le scanner confirme le pneumopéritoine et l’épanchement."
"Quels sont les principes du traitement de la perforation d’ulcère ?","Réanimation, laparotomie ou laparoscopie, suture de la perforation ± épiplooplastie, toilette péritonéale et traitement de la maladie ulcéreuse (IPP ± éradication d’H. pylori).","Le traitement de la maladie ulcéreuse est associé."
"Quelle est la place de l’hémorragie parmi les complications de l’UGD ?","Elle représente 50 % des hémorragies digestives hautes ; 2 % des ulcères se compliquent d’hémorragie avec une mortalité de 3 à 15 %.","Elle peut provenir d’une érosion de l’artère gastro-duodénale ou gastrique gauche."
"Quelle est la conduite à tenir initiale devant un ulcère hémorragique ?","Réanimation (remplissage, transfusion), sonde nasogastrique, fibroscopie dès stabilisation hémodynamique (diagnostic + geste d’hémostase) et IPP IV.","La chirurgie est indiquée en cas d’échec endoscopique ou d’hémorragie cataclysmique."
"Quel geste chirurgical réalise-t-on en cas d’hémorragie non contrôlée d’un ulcère duodénal ?","Duodénotomie et suture de l’ulcère (hémostase), éventuellement associée à un traitement de la maladie ulcéreuse (vagotomie ± antrectomie ou pyloroplastie).","Pour l’ulcère gastrique, on réalise l’exérèse de l’ulcère avec examen anatomopathologique."
"Quelles sont les principales complications chirurgicales de l’ulcère gastro-duodénal ?","Perforation, sténose, hémorragie et dégénérescence cancéreuse (pour l’ulcère gastrique).","La perforation est plus fréquente dans l’ulcère duodénal."
"Quelle est la physiopathologie de la perforation d’ulcère ?","Déversement du suc gastrique acide dans la cavité péritonéale réalisant une péritonite chimique initiale.","Elle complique environ 10 % des UGD."
"Quels sont les signes cliniques de la perforation d’ulcère ?","Douleur brutale en « coup de poignard » épigastrique se généralisant, nausées, vomissements, arrêt du transit, apyrexie initiale puis fièvre, contracture abdominale, disparition de la matité pré-hépatique, cri du Douglas.","Le pneumopéritoine est le signe radiologique pathognomonique (ASP)."
"Quels sont les moyens médicaux à réaliser devant une perforation d’ulcère ?","Réanimation, sonde naso-gastrique en aspiration, antalgiques, antibiothérapie parentérale à large spectre (ex. Augmentin + Flagyl), IPP IV.","Ces mesures précèdent ou accompagnent le traitement chirurgical."
"Qu’est-ce que la méthode de Taylor ?","Traitement médical exclusif de la perforation (aspiration gastrique prolongée, antibiotiques, IPP) réservé aux patients vus précocement, sans choc, avec symptomatologie ulcéreuse récente et ne pouvant supporter la chirurgie.","Elle nécessite une surveillance clinico-radiologique stricte."
"Quels sont les signes cliniques de la sténose ulcéreuse ?","Vomissements post-prandiaux tardifs non bilieux, pesanteur épigastrique, amaigrissement, déshydratation, clapotage à jeun, distension gastrique.","Elle complique 1 à 2 % des UGD, plus souvent duodénaux."
"Quelle est la conduite à tenir devant un ulcère hémorragique ?","Réanimation (remplissage, transfusion), sonde gastrique, fibroscopie en urgence avec geste d’hémostase (injection d’adrénaline, clip, électrocoagulation), IPP IV. Chirurgie en cas d’échec ou d’hémorragie cataclysmique.","L’hémorragie représente 50 % des hémorragies digestives hautes."
