"question","answer","explanation"
"Quelle est la définition de l’omphalocèle ?","Défaut de fermeture de l’anneau ombilical entraînant une extériorisation des viscères abdominaux recouverts par une membrane amniotique.","La présence de la membrane est le critère distinctif essentiel par rapport au laparoschisis."
"Quelle est la définition du laparoschisis ?","Défaut de croissance pariétale (probablement d’origine vasculaire) survenant pendant la phase finale de la délimitation, avec extériorisation des viscères non recouverts par une membrane.","L’absence de membrane et le caractère isolé (peu de malformations associées) caractérisent le laparoschisis."
"Quelle est la différence fondamentale entre omphalocèle et laparoschisis concernant le recouvrement des viscères ?","Dans l’omphalocèle les viscères sont recouverts par une membrane amniotique ; dans le laparoschisis ils sont libres, sans membrane.","Cette différence est le point clé du diagnostic différentiel clinique et échographique."
"Quelles sont les caractéristiques du laparoschisis concernant les malformations associées ?","Le laparoschisis est généralement isolé : pas d’anomalies ni de malformations associées.","Contrairement à l’omphalocèle qui s’accompagne fréquemment de malformations (cardiaques, chromosomiques, etc.)."
"Pourquoi les defects pariétaux sont-ils considérés comme graves ?","En raison des complications (exposition des viscères, pertes hydro-électrolytiques, infection) et, pour l’omphalocèle, des malformations associées.","La prise en charge néonatale immédiate (protection des viscères, réanimation) est cruciale."
"Quel est le siège du défaut dans l’omphalocèle ?","L’anneau ombilical (défaut de fermeture).","L’omphalocèle siège donc au niveau de l’ombilic, contrairement au laparoschisis qui est para-ombilical (généralement à droite)."
"Quelle est l’origine probable du laparoschisis ?","Origine vasculaire survenant pendant la phase finale de la délimitation de l’embryon.","Cette hypothèse explique le caractère isolé de la malformation."
"Comment différencie-t-on cliniquement omphalocèle et laparoschisis à la naissance ?","Présence (omphalocèle) ou absence (laparoschisis) d’une membrane recouvrant les viscères extériorisés, et siège du défect (ombilical vs para-ombilical).","L’examen clinique immédiat permet le diagnostic différentiel."
"Quelle est la fréquence approximative de l’omphalocèle ?","Entre 1/1000 et 1/5000 naissances.","L’omphalocèle est plus fréquent que le laparoschisis."
"Quelle est la fréquence approximative du laparoschisis ?","Environ 1/10 000 naissances.","Le rapport laparoschisis/omphalocèle est d’environ 1,5 à 2."
