"question","answer","explanation"
"Quelle est la définition de l’atrésie duodénale ?","Interruption de la continuité digestive segmentaire, unique ou multiple, au niveau du duodénum.","C’est une occlusion néonatale haute par arrêt de la continuité duodénale."
"Où se situe le plus souvent l’interruption dans l’atrésie duodénale ?","Généralement en aval de l’abouchement du cholédoque (post-vatérienne), au niveau de D2.","L’atrésie sus-vatérienne est exceptionnelle et se manifeste alors par des vomissements non bilieux."
"Quelles sont les principales associations malformatives de l’atrésie duodénale ?","Défaut d’accolement avec mésentère commun, atrésie de l’œsophage, pancréas annulaire, et trisomie 21 (dans environ 10 % des cas).","La recherche de malformations associées, notamment la trisomie 21, est systématique."
"Quels sont les signes du diagnostic anténatal de l’atrésie duodénale ?","Dilatation de l’estomac et du premier duodénum réalisant un aspect en « double bulle », souvent associé à un hydramnios.","L’aspect en double bulle à l’échographie anténatale est très évocateur."
"Quels sont les signes cliniques postnatals de l’atrésie duodénale ?","Vomissements bilieux (ou alimentaires) dès la naissance, abdomen plat, et émission de selles constituées de bouchon muqueux.","L’abdomen plat contraste avec les occlusions plus basses qui entraînent un ballonnement."
"Que montre la radiographie d’abdomen sans préparation (ASP) dans l’atrésie duodénale ?","Aspect caractéristique en « double bulle » (deux poches à air : estomac et duodénum proximal) avec absence d’aération du reste de l’abdomen.","Cet aspect radiologique signe l’occlusion duodénale complète."
"Quelle est la conduite à tenir initiale devant une atrésie duodénale ?","Mise en place d’une sonde gastrique en aspiration digestive et transfert en chirurgie pédiatrique.","Ces mesures préviennent les fausses routes et stabilisent l’enfant avant l’intervention."
"Quels sont les principes du traitement chirurgical de l’atrésie duodénale ?","Laparotomie (transversale ou médiane) puis anastomose duodéno-duodénale latéro-latérale ou en « diamant » (duodéno-duodénostomie).","L’anastomose en diamant est une technique classique qui assure un bon calibre de communication."
"Quelles sont les particularités des suites opératoires de l’atrésie duodénale ?","Aspiration gastrique prolongée, reprise très progressive de l’alimentation, et bon pronostic à distance. Risque ultérieur de bézoard.","La reprise alimentaire est lente en raison de la dysmotilité duodénale fréquente."
"Pourquoi l’atrésie duodénale est-elle une urgence diagnostique et thérapeutique ?","Parce qu’elle réalise une occlusion intestinale haute néonatale qui expose rapidement aux complications (déshydratation, troubles hydro-électrolytiques, fausses routes).","Tout vomissement bilieux néonatal doit faire évoquer ce diagnostic jusqu’à preuve du contraire."
