"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la tuberculose de l’enfant ?","Poser le diagnostic positif d’une tuberculose pulmonaire et des différentes formes cliniques, et citer les principes du traitement.","Pathologie endémique ; co-infection TB-VIH fréquente → dépistage systématique."
"Quelle est la différence entre tuberculose-infection et tuberculose-maladie ?","Infection (primo-infection latente) : simple virage de l’IDR, asymptomatique. Maladie (primo-infection patente) : signes cliniques et/ou radiologiques ± bactériologie positive.","Le mode de transmission est aérien (gouttelettes de Pflügge)."
"Quels sont les arguments diagnostiques d’une tuberculose pulmonaire ?","Contage, statut vaccinal, fièvre vespérale, toux > 3 semaines, syndrome d’imprégnation, radio (adénopathies hilaires, opacités), tubage gastrique (BAAR), GeneXpert, IDR positive.","Le GeneXpert a une meilleure sensibilité et détecte les résistances."
"Quels sont les signes de la miliaire tuberculeuse ?","Nourrisson < 12 mois, détresse respiratoire, AEG, fièvre, radio en « grains de mil », IDR souvent négative. Faire systématiquement FO et PL (méningite associée dans 20 %).","Diffusion hématogène 3-6 mois après la primo-infection."
"Quels sont les signes de la méningite tuberculeuse ?","Évolution insidieuse, fébricule, céphalées, vomissements, somnolence, convulsions, signes focaux, coma. LCR clair, lymphocytaire, hyperprotéinorachie, hypoglycorachie.","Le GeneXpert sur LCR et le FO (tubercule de Bouchut) aident au diagnostic."
"Quel est le schéma thérapeutique des formes peu graves ?","2 mois RHZ / 4 mois RH (tuberculose pulmonaire bacillifère ou non, ganglionnaire).","H = isoniazide, R = rifampicine, Z = pyrazinamide."
"Quel est le schéma des formes graves (méningite, ostéo-articulaire) ?","2 mois RHZE / 10 mois RH.","L’éthambutol (E) est ajouté en phase intensive."
"Quelles sont les indications des corticoïdes ?","Méningite tuberculeuse, péricardite, compression bronchique par adénopathie, miliaire avec oxygéno-dépendance (1-2 mg/kg/j pendant 4 semaines puis décroissance).","Ils réduisent les séquelles inflammatoires."
"Quels sont les temps de surveillance du traitement ?","2 semaines, 2 mois, 4 mois, 6 mois : symptômes, adhérence, effets secondaires, poids (adaptation des doses). Contrôle microbiologique à M2 si frottis initial positif.","Pas de radio de suivi si évolution favorable."
"Quel est le message clé de conclusion ?","Diagnostic sur arguments anamnestiques, cliniques et paracliniques ; formes cliniques variées ; dépistage systématique du VIH ; traitement adapté à la forme ; prévention par BCG et dépistage des contacts.","Le score diagnostique (≥ 7) peut aider à démarrer le traitement."
