"question","answer","explanation"
"Where is the prostate located?","Just below the urinary bladder and in front of the rectum; the urethra passes through it.","It is a walnut-sized gland that produces part of the fluid in semen."
"What is semen?","The liquid that comes through the urethra when a man ejaculates.","The prostate contributes to its composition."
"What is the most common cancer in men after skin cancer?","Prostate cancer.","It often grows slowly but some forms are aggressive."
"List four early or later symptoms of prostate cancer.","Frequent urination (especially at night), difficulty starting or stopping urination, weak or interrupted stream, painful or burning sensation during urination or ejaculation, blood in urine or semen.","Advanced disease may cause deep pain in the lower back, hips or thighs (bone metastases)."
"What does DRE stand for?","Digital Rectal Examination.","The doctor feels the prostate for bumps or hard spots."
"What does PSA stand for and what is it?","Prostate-Specific Antigen – a protein produced by prostate cells and measured in the blood.","An elevated level may indicate a higher risk of cancer, but it is not 100 % specific."
"What is the usual normal value of PSA?","Most of the time less than 4 ng/mL (it also depends on age).","A normal PSA does not completely exclude cancer."
"Name five possible treatments for prostate cancer.","Watchful waiting, radiation therapy, surgery (prostatectomy), hormone therapy (anti-testosterone), chemotherapy, cryotherapy.","A prostate-cancer vaccine is still under research."
"What is a prostatectomy?","Surgical removal of the prostate.","One of the curative options for localized disease."
"What is the purpose of hormone therapy in prostate cancer?","To stop the effects of testosterone (anti-androgen / anti-testosterone treatment).","Prostate-cancer cells are often hormone-dependent."
"Why can advanced prostate cancer cause pain in the lower back, hips or upper thighs?","Because of bone metastases.","This is a sign of advanced disease."
"Is it possible to have a high PSA and still be cancer-free?","Yes.","Conversely, it is also possible to have a normal PSA and still have prostate cancer."
"What is “watchful waiting”?","A strategy of active surveillance without immediate aggressive treatment, used for slow-growing prostate cancers.","Suitable when the cancer is unlikely to cause significant harm."
