"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la méningite bactérienne de l’enfant ?","Citer les signes, les étiologies, rechercher la gravité, indiquer la ponction lombaire et décrire le traitement.","C’est une urgence thérapeutique avec risque élevé de décès et de séquelles."
"Quels sont les signes cliniques de méningite chez le grand enfant ?","Syndrome infectieux (fièvre brutale) + syndrome méningé (céphalées, vomissements, photophobie) + raideur de nuque, signes de Brudzinski et de Kernig.","Le tableau est souvent franc."
"Quels sont les signes évocateurs chez le nourrisson ?","Somnolence inhabituelle alternant avec agitation, refus de téter, convulsions fébriles, cris à la mobilisation, fontanelle bombée, hypotonie axiale ou raideur de nuque.","Les signes méningés classiques sont souvent absents."
"Quels sont les signes chez le nouveau-né ?","Tout nouveau-né qui « va mal » : refus de tétée, résidus, ballonnement, purpura, hypotonie, convulsions, instabilité thermique.","L’infection doit être évoquée jusqu’à preuve du contraire."
"Quelles sont les contre-indications de la ponction lombaire ?","Instabilité hémodynamique, troubles de l’hémostase, signes d’HTIC, signes de focalisation, traumatisme crânien récent.","La PL se fait avec un kit de réanimation prêt."
"Quels sont les résultats typiques du LCR dans une méningite bactérienne purulente ?","Aspect trouble ou purulent, hypercellularité à prédominance de polynucléaires, hyperprotéinorachie, hypoglycorachie (< ½ de la glycémie), lactate élevé, germes à l’examen direct ou en culture.","Un LCR clair n’élimine pas une méningite bactérienne décapitée."
"Quels sont les principaux germes selon l’âge ?","Nouveau-né : SGB, E. coli, Listeria. Nourrisson et enfant : pneumocoque, méningocoque, Haemophilus influenzae.","Le pneumocoque et le méningocoque dominent après la période néonatale."
"Quels sont les signes de gravité d’une méningite ?","Purpura, troubles hémodynamiques, troubles de conscience, signes de focalisation, état de mal convulsif, signes d’HTIC.","Ces signes imposent une prise en charge en réanimation."
"Quel est le traitement antibiotique probabiliste et le traitement adjuvant ?","Nouveau-né : C3G + pénicilline A + aminoside. Nourrisson/enfant : C3G à forte posologie ± aminoside. Dexaméthasone 0,15 mg/kg/6 h pendant 4 jours (débutée avant ou avec la 1re dose d’ATB, sauf nouveau-né, immunodéprimé ou méningocoque).","La corticothérapie réduit les séquelles auditives dans certaines situations."
"Quelles sont les complications immédiates et tardives ?","Immédiates : décès, choc septique, purpura fulminans, œdème cérébral, abcès, empyème, SIADH. Tardives : épilepsie, retard psychomoteur, surdité, séquelles motrices et cognitives, hydrocéphalie.","La prévention vaccinale est essentielle."
