"question","answer","explanation"
"Quels sont les objectifs pédagogiques des hémorragies néonatales ?","Prévenir la maladie hémorragique du nouveau-né (MHNN), reconnaître une hémorragie néonatale, rechercher les causes et traiter une MHNN.","La prévention par la vitamine K est essentielle."
"Quelles sont les manifestations hémorragiques mineures liées à l’accouchement ?","Bosse séro-sanguine, céphalhématome, hémorragie sous-conjonctivale, ecchymoses ou pétéchies limitées à la face.","Elles sont liées aux circonstances de l’accouchement."
"Quelles sont les manifestations hémorragiques majeures ?","Hémorragies cutanéo-muqueuses (purpura, hémorragie ombilicale, bucco-pharyngée, épistaxis) et viscérales (hématémèse, méléna, hémoptysie, hématurie, hémorragie cérébro-méningée).","L’hémorragie ombilicale est particulièrement évocatrice."
"Qu’est-ce que la maladie hémorragique du nouveau-né (MHNN) ?","Hémorragie due à une immaturité hépatocytaire avec déficit en vitamine K, survenant typiquement entre J2 et J3, se traduisant par des hémorragies digestives et cutanées.","Le TP est effondré (< 20 %) avec baisse des facteurs II, VII, IX, X et facteur V normal."
"Quel est le traitement curatif d’urgence de la MHNN ?","PPSB (ou facteurs II, VII, IX, X) 1 ml/kg IV lente puis vitamine K1 1 ampoule tous les 3-4 jours jusqu’à arrêt du saignement.","Le PPSB corrige immédiatement le déficit."
"Quel est le schéma prophylactique de vitamine K chez le nouveau-né à terme sans risque particulier ?","2 mg per os à la naissance, entre J3 et J4, et à 1 mois.","Chez les nouveau-nés à risque ou ne pouvant s’alimenter, la voie IV ou IM est préférée."
"Quel est le schéma prophylactique de vitamine K chez le prématuré ?","PN < 1500 g : 0,5 mg IVL à la naissance puis 0,5-1 mg/semaine jusqu’au terme corrigé. PN > 1500 g : 1-2 mg à la naissance puis 1-2 mg/semaine.","Les prématurés sont particulièrement à risque."
"Quelles sont les autres causes d’hémorragies néonatales ?","Thrombopénie, déficits congénitaux des facteurs de coagulation (I, XIII, hémophilie, thrombasthénie de Glanzmann…), troubles secondaires de l’hémostase (anoxie, infection, insuffisance hépatocellulaire).","Le plasma frais congelé 20 ml/kg est le traitement d’urgence des déficits congénitaux."
"Dans quelles circonstances surviennent les troubles secondaires de l’hémostase ?","Agressions périnatales sévères (anoxie, infection, insuffisance circulatoire, hémolyse, hypothermie) ou insuffisance hépatocellulaire (galactosémie, hépatite).","Ces situations sont fréquentes en réanimation néonatale."
"Quel est le message clé de conclusion ?","Les hémorragies néonatales ont des causes variables ; les troubles secondaires de l’hémostase sont fréquents ; la prévention de la MHNN par la vitamine K en 3 prises reste obligatoire.","La prévention primaire est le point essentiel."
