"question","answer","explanation"
"Qu’est-ce que l’atrésie de l’œsophage ?","C’est une interruption de la continuité œsophagienne, associée dans la majorité des cas à une communication avec la trachée appelée fistule trachéo-œsophagienne.","Il s’agit d’une malformation congénitale qui associe donc une anomalie digestive et, fréquemment, une communication anormale avec les voies respiratoires."
"Pourquoi l’atrésie de l’œsophage constitue-t-elle une urgence chirurgicale néonatale ?","Parce qu’elle entraîne dès la naissance un retentissement digestif et respiratoire important et nécessite un traitement chirurgical.","Le nouveau-né ne peut pas assurer une déglutition œsophagienne normale et les fausses routes ainsi que les conséquences de la fistule peuvent rapidement compromettre la fonction respiratoire."
"À quelle période du développement embryonnaire survient le trouble responsable de l’atrésie de l’œsophage ?","Le trouble de l’embryogenèse survient entre la 4e et la 6e semaine du développement.","Cette période correspond à une phase critique de différenciation du tube digestif et de séparation de la trachée et de l’œsophage."
"Quel est le type d’atrésie de l’œsophage le plus fréquent selon le cours ?","Le type III.","Dans ce type, le cul-de-sac œsophagien supérieur est borgne et dilaté, tandis qu’une fistule trachéo-œsophagienne est présente au niveau inférieur."
"Quelles sont les caractéristiques anatomiques du type I d’atrésie de l’œsophage ?","Les deux culs-de-sac œsophagiens sont borgnes, éloignés de plus de quatre vertèbres, sans communication trachéo-œsophagienne.","L’absence de fistule distingue notamment ce type des formes avec communication trachéo-œsophagienne."
"Quelles sont les caractéristiques essentielles du type III d’atrésie de l’œsophage ?","Il comporte un cul-de-sac supérieur borgne et dilaté, une fistule trachéo-œsophagienne inférieure et un écart entre les deux extrémités œsophagiennes n’excédant pas trois vertèbres.","C’est la forme la plus fréquente et celle dont la fistule explique une grande partie du retentissement respiratoire et abdominal."
"Quelles malformations associées doivent être recherchées devant une atrésie de l’œsophage ?","Il faut rechercher notamment des anomalies cardiovasculaires, vertébrales, digestives et rénales, ainsi qu’une association de type VACTER.","La fréquence des malformations associées est élevée car le trouble embryologique survient pendant une période où plusieurs organes se développent simultanément."
"Quelles sont les principales conséquences physiopathologiques de l’atrésie de l’œsophage chez le nouveau-né ?","Elle entraîne un retentissement digestif et respiratoire avec impossibilité de déglutition normale, hypersialorrhée, fausses routes, distension gastrique et abdominale et lésions pulmonaires.","La fistule permet le passage d’air vers l’estomac à l’inspiration et le reflux de liquide vers les voies respiratoires à l’expiration, aggravant le retentissement pulmonaire."
"Quel signe clinique digestif est particulièrement évocateur à la naissance ?","L’hypersialorrhée avec accumulation de salive dans le cul-de-sac œsophagien supérieur et fausses routes.","La salive ne peut pas progresser normalement vers l’estomac et remplit rapidement le cul-de-sac supérieur."
"Comment dépister une atrésie de l’œsophage en salle de naissance ?","Par le passage d’une sonde gastrique pour vérifier la perméabilité œsophagienne.","En cas d’atrésie, la sonde bute dans le cul-de-sac supérieur. La distance de l’arrêt doit être notée et une radiographie thoraco-abdominale permet de confirmer la situation."
"Quel examen permet de rechercher une atrésie de l’œsophage lorsqu’une sonde gastrique bute ?","Une radiographie thoraco-abdominale de face.","Elle permet notamment de montrer la sonde enroulée dans le cul-de-sac œsophagien supérieur et de rechercher la présence d’air abdominal selon le type d’atrésie."
"Quels sont les objectifs de la prise en charge initiale avant le traitement chirurgical ?","Installer le nouveau-né en proclive à 45°, assurer une aspiration continue du cul-de-sac supérieur, maintenir une ventilation adaptée, protéger thermiquement l’enfant, puis organiser son transfert spécialisé et réaliser le bilan préopératoire.","Ces mesures cherchent principalement à limiter les fausses routes, le retentissement respiratoire et les complications avant la chirurgie."
"Quels sont les principes du traitement chirurgical d’une atrésie de l’œsophage de type III ?","Fermer la fistule trachéo-œsophagienne inférieure et réaliser une anastomose entre les deux culs-de-sac œsophagiens.","Le traitement vise à supprimer la communication anormale avec la trachée et à rétablir la continuité digestive."
"Quelle est la complication trachéale associée à l’atrésie de l’œsophage avec fistule trachéo-œsophagienne mentionnée dans le cours ?","La trachéomalacie.","Le cours indique qu’elle est présente dans environ la moitié des cas d’atrésie de l’œsophage et qu’elle participe aux difficultés respiratoires."
