"question","answer","explanation"
"What does the acronym IMRAD stand for?","Introduction – Methods – Results – And – Discussion.","It is the standard structure of a scientific article."
"What are the three main elements usually found in the Introduction?","1. Justification of the choice of the subject 2. Aim of the study 3. Different parts of the publication.","The introduction presents the rationale and objectives."
"What information is typically included in the Methods section?","Criteria for choosing the population or the drug, dosage used, statistical methods, software used, choice of standard examination or standard drug, period, duration and ethical considerations.","It must allow the study to be reproduced."
"Name three statistical softwares mentioned in the text.","EPI INFO, R, STAT VIEW.","They are used for data analysis."
"What does the Results section contain?","The studied parameters (initial, middle and final results), which may be positive or negative, presented with numbers (percentages, means), figures, pictures and tables.","Results are factual and should not contain interpretation."
"What is the purpose of the Discussion section?","To compare the results with those of other studies, to give explanations for the findings and to propose hypotheses.","It interprets the results in the light of existing knowledge."
"Where are the references placed in a scientific publication?","At the end of the publication.","They follow a standard format."
"Give the correct order of elements in a typical reference.","Name of authors. Title. Review (journal). Year; Volume: Pages.","Example: Rakoto et al. Méd Trop. 2005; 23: 12-5."
"How is a reference written when there are many authors (oral presentation style)?","First author et al. Review, Year, Volume, Pages.","“et al.” means “and others”."
"What is a scientific publication?","A written work that is published in a scientific journal (review) or online and that follows the IMRAD structure.","It communicates original research or reviews."
"Why must the Methods section be detailed?","So that other researchers can reproduce the study.","Reproducibility is a key principle of science."
"What kind of information should NOT appear in the Results section?","Interpretation or comparison with other studies (that belongs to the Discussion).","Results must remain purely descriptive."
