"question","answer","explanation"
"Quelle est la définition histologique de la glomérulonéphrite extra-membraneuse ?","Lésions touchant le versant externe (sous-épithélial) de la membrane basale glomérulaire.","Il n’y a pas de prolifération cellulaire."
"Quelle est la fréquence de la GNEM selon l’âge ?","7 % des glomérulopathies de l’enfant et 40 % de celles de l’adulte.","C’est la cause la plus fréquente de syndrome néphrotique de l’adulte."
"Quel est le tableau clinique typique de la GNEM ?","Syndrome néphrotique impur progressif (protéinurie, HTA, hématurie, insuffisance rénale possible).","Il évolue de façon progressive, contrairement à la GNA."
"Quelle complication thromboembolique est particulièrement fréquente au cours de la GNEM ?","Thrombose veineuse rénale (douleur lombaire + élévation rapide de la créatininémie).","C’est une particularité de cette glomérulopathie."
"Quels sont les aspects histologiques caractéristiques de la GNEM en microscopie optique ?","Épaississement régulier et diffus des parois capillaires sans prolifération cellulaire ; aspect « en spike » (hérissé) à l’imprégnation argentique.","Les spikes correspondent à l’expansion de la membrane basale entre les dépôts."
"Quel est l’aspect en immunofluorescence de la GNEM ?","Dépôts extramembraneux granuleux d’IgG et de C3.","Cet aspect est très caractéristique."
"Quelle est la proportion de formes primitives de GNEM ?","Environ 85 %.","Les 15 % restants sont secondaires."
"Citez les principales causes médicamenteuses de GNEM.","AINS (les plus fréquents), D-pénicillamine, sels d’or, sels de mercure, probénécide, triméthadione.","Les AINS sont la cause iatrogène la plus classique."
"Quelles infections peuvent être responsables de GNEM ?","VHB, VHC, VIH, syphilis, streptococcie, paludisme, bilharziose, filariose, hydatidose, lèpre.","Les virus des hépatites sont particulièrement importants."
"Quelles néoplasies sont classiquement associées à la GNEM ?","Cancers solides (poumon, côlon, estomac, rein, sein, prostate, mélanome), lymphomes, leucémies et maladie de Hodgkin.","Une recherche de cancer est systématique chez l’adulte, surtout si la créatininémie augmente."
"Quelles maladies systémiques peuvent s’accompagner d’une GNEM ?","Lupus, polyarthrite rhumatoïde, syndrome de Sjögren, connectivite mixte, sarcoïdose, spondylarthrite ankylosante.","Le lupus est la cause systémique la plus fréquente."
"Quelle est l’évolution spontanée de la GNEM ?","Rémission spontanée 30 %, persistance de la protéinurie sans insuffisance rénale 50 %, aggravation lente vers l’IRC dans le reste des cas.","Le traitement étiologique fait régresser les dépôts."
"Quels sont les principes du traitement non spécifique de la GNEM ?","Restriction sodée, diurétiques, IEC ± ARA2 pendant au moins 6 mois (objectif tensionnel < 130/80 mmHg et protéinurie < 0,5 g/24 h).","Ces mesures de néphroprotection sont systématiques."
"Quel est le protocole immunosuppresseur de référence de la GNEM (protocole Ponticelli) ?","Alternance mensuelle pendant 6 mois de méthylprednisolone en bolus (1 g/j × 3 j) puis prednisone orale, avec chlorambucil les mois opposés.","C’est le schéma le plus validé."
"Quelles sont les indications d’un traitement spécifique de la GNEM ?","Protéinurie > 4 g/j pendant 1 an, > 6 g/j pendant 9 mois, > 8 g/j pendant 6 mois, ou protéinurie > 8 g/j avec DFG diminué.","En dessous de ces seuils, le traitement non spécifique suffit souvent."
