"question","answer","explanation"
"Quelle est la définition d’une fracture du malaire ?","Solution de continuité intéressant l’os zygomatique (malaire), en partie ou en totalité, d’origine traumatique.","C’est la 2e fracture de la face après celle de l’os nasal."
"Quel est le déplacement caractéristique de l’os malaire en cas de fracture ?","Déplacement en bas, en dedans et en arrière.","Ce déplacement explique l’effacement de la pommette et les troubles oculaires."
"Quels sont les signes fonctionnels principaux d’une fracture du malaire ?","Algie localisée à la pommette et trouble visuel (diplopie).","La diplopie traduit une atteinte du plancher orbitaire ou des muscles oculomoteurs."
"Quels sont les signes d’inspection d’une fracture du malaire ?","Ecchymose périorbitaire, effacement de la pommette, épistaxis et parfois trismus.","L’effacement de la pommette est très évocateur."
"Quels signes retrouve-t-on à la palpation d’une fracture du malaire ?","Douleur exquise, décrochement ou décalage osseux, emphysème sous-cutané et hypoesthésie sous-orbitaire.","L’hypoesthésie témoigne d’une atteinte du nerf sous-orbitaire."
"Quel examen ophtalmologique est indispensable devant une fracture du malaire ?","Recherche de plaie du globe, énophtalmie, trouble de la dynamique oculaire et baisse de l’acuité visuelle.","L’atteinte oculaire constitue une urgence."
"Quels examens radiologiques demanderez-vous devant une suspicion de fracture du malaire ?","Radiographies de la face (Blondeau et Hirtz) et surtout TDM cranio-faciale avec reconstruction 3D.","La TDM précise les traits, les déplacements et les lésions associées."
"Quelles sont les formes cliniques isolées de fracture du malaire ?","Disjonction simple, fracture du corps, fracture isolée du plancher orbitaire et fracture isolée de l’arcade zygomatique.","La fracture isolée de l’arcade se manifeste par un « coup de hache » et un trismus."
"Quelles sont les complications précoces (urgences) d’une fracture du malaire ?","Diplopie, énophtalmie, baisse de l’acuité visuelle pouvant aller jusqu’à la cécité.","Ces complications imposent une prise en charge ophtalmologique urgente."
"Quelles sont les complications tardives possibles ?","Séquelles morphologiques (asymétrie), ophtalmologiques, sinusiennes, neurologiques et limitation permanente de l’ouverture buccale.","Elles justifient une réduction et une ostéosynthèse précoces."
