"question","answer","explanation"
"What does IM, IV, SC and ID stand for in drug administration?","IM = intramuscular ; IV = intravenous ; SC = subcutaneous ; ID = intradermal (or intradermic).","These are the main parenteral routes."
"List four different oral dosage forms mentioned in the text.","Liquids (solutions, syrups), powders/granules to be dissolved, tablets, and capsules.","Oral forms are adapted to the patient’s ability to swallow."
"What are the five classic “rights” of drug administration?","Right patient, right drug, right dose, right time, and right route (plus checking expiry date and contraindications).","These rules prevent medication errors."
"What size of syringe and needle is recommended for an intramuscular injection?","2 to 5 mL syringe and a 3 to 7 cm needle.","Shorter needles are used for intradermal and subcutaneous injections."
"Why must oral drugs never be given to an unconscious patient?","Because of the high risk of aspiration.","Parenteral routes are preferred in coma."
"Name three topical forms of drugs that can be applied to the skin.","Creams, lotions and ointments.","Patches and gels may also have systemic effects."
"What does NSAID stand for?","Non-Steroidal Anti-Inflammatory Drug.","Often used in topical gels or patches for systemic effect."
"What must the nurse always do before and after giving an injection?","Wash his/her hands.","Aseptic technique is mandatory."
"What equipment is needed for an intravenous injection or perfusion?","Needle or catheter, tourniquet, germicidal solution for the skin, adhesive and cotton.","A full IV kit is required."
"When is a written order for a drug not strictly necessary?","In emergency situations.","Otherwise a written prescription is required."
"What should be checked on the box or bottle before administering any drug?","The expiry date.","Expired drugs must never be used."
"Give two examples of special storage conditions for drugs.","Keep refrigerated ; protect from heat and light.","Each medication must be kept in its normal storage area."
