"question","answer","explanation"
"question","answer","explanation"
"What does the term “hysterectomy” mean?","Surgical removal of the uterus.","It can be performed with or without removal of the ovaries and fallopian tubes."
"What is a salpingo-oophorectomy?","Surgical removal of the fallopian tubes (salpinx) and the ovaries.","It is often performed together with a hysterectomy."
"Name the three main types of hysterectomy described in the text.","Abdominal hysterectomy, vaginal hysterectomy, and laparoscopic-assisted vaginal hysterectomy.","The choice depends on the indication and the surgeon’s preference."
"How is an abdominal hysterectomy performed?","The surgeon makes an incision in the lower abdomen, pulls back the muscles, cuts the ligaments and tissues holding the uterus, and removes it through the abdominal incision.","If salpingo-oophorectomy is included, the ovaries and tubes are removed in the same way."
"What instrument is inserted into the vagina during a vaginal hysterectomy?","A weighted speculum.","It stretches and holds the vagina open."
"What are “ports” in laparoscopic-assisted vaginal hysterectomy?","Small incisions (holes) made in the abdomen through which the camera and surgical instruments are inserted.","Carbon dioxide gas is pumped through one port to inflate the abdomen."
"What is a laparoscope?","An instrument inserted into the abdomen through a port that contains a cold light and a camera.","Images are projected onto a video monitor in the operating room."
"What is placed in the vagina at the end of all three hysterectomy procedures?","Gauze packing.","It helps prevent excess bleeding."
"What does the verb “to slide the uterus out” mean in this context?","To pull the uterus out of the body through the vagina.","Typical of the vaginal approach."
"What are “stitches”?","Surgical closing of a wound; one complete movement of a threaded needle.","The top of the vagina and the abdominal incisions are closed with stitches."
"Give the English equivalent of “salle d’opération”.","Operating room (or operating theatre).","The place where the surgical procedure is performed."
"What does “to prevent excess bleeding” mean?","To avoid bleeding more than usual.","Gauze packing is used for this purpose."
