"question","answer","explanation"
"Quels sont les objectifs pédagogiques du RGO du nourrisson ?","Diagnostiquer un RGO et argumenter la prise en charge.","C’est la 1ʳᵉ cause de rejets lactés et touche 2/3 des nourrissons avant 5 mois."
"Comment définit-on le RGO ?","Passage involontaire et sans effort du contenu gastrique vers l’œsophage. Il est habituel les premiers mois de vie.","On distingue RGO physiologique et pathologique."
"Quels sont les mécanismes physiopathologiques principaux ?","Inefficacité du sphincter inférieur de l’œsophage (relaxations inappropriées), volume lacté élevé (> 120 ml/kg/j) et parfois malposition cardio-tubérositaire.","Ces mécanismes expliquent la fréquence du RGO physiologique."
"Quels signes différencient un RGO physiologique d’un RGO pathologique ?","Physiologique : rejets non sanglants, appétit et croissance normaux, isolé. Pathologique : œsophagite, malaise, manifestations ORL ou pulmonaires.","Un seul critère pathologique suffit à classer le RGO comme pathologique."
"Quels sont les signes d’œsophagite ?","Hématémèse (traces de sang sur le bavoir), brûlure rétro-sternale, pyrosis, dysphagie ou odynophagie.","Ils traduisent une lésion muqueuse par reflux acide répété."
"Quels sont les signes extra-digestifs possibles ?","Toux nocturne, bronchites/pneumopathies à répétition (surtout lobe moyen), asthme, dyspnée laryngée, dysphonie, malaise du nourrisson (pâleur, cyanose, hypotonie, bradycardie).","Ces signes imposent des explorations ciblées."
"Quelles explorations sont indiquées et lesquelles ne le sont pas ?","Jamais d’examens biologiques de routine. Fibroscopie si suspicion d’œsophagite/hématémèse ; pH-métrie 24 h si formes extra-digestives ; TOGD en bilan préopératoire. Non indiquées dans le RGO simple.","Les explorations sont réservées aux formes compliquées."
"Quelles sont les mesures hygiéno-diététiques de première intention ?","Réduire les changements de position, faire rotter en vertical, position proclive, épaississement du lait (AR ou Gumilk), fractionnement des volumes, rassurer les parents.","Ces mesures suffisent dans 80 % des RGO physiologiques qui guérissent avant 1 an."
"Quand utilise-t-on un traitement médicamenteux ou chirurgical ?","IPP (oméprazole 1 mg/kg/j) si œsophagite ou enfant > 1 an. Chirurgie (fundoplicature de Nissen) exceptionnelle : RGO rebelle, invalidant ou sur terrain particulier (encéphalopathie, atrésie de l’œsophage…).","La chirurgie reste rare."
"Quel est le message clé de conclusion ?","Le RGO physiologique disparaît avant 12 mois ; les formes avec symptômes extra-digestifs ou malaise doivent être explorées ; les mesures hygiéno-diététiques sont prioritaires et doivent être bien expliquées aux parents.","La diversification et la maturation du SIO expliquent la guérison spontanée."
