"question","answer","explanation"
"Quelle est la différence entre fréquence absolue et fréquence relative ?","Fréquence absolue = nombre brut de cas (ex. 30 cas). Fréquence relative = rapport du nombre de cas à la population (ex. 30/150 000).","La fréquence relative permet de comparer des populations de tailles différentes."
"Qu’est-ce qu’une proportion ?","P = a / (a + b). Le numérateur est une part du dénominateur (va de 0 à 1 ou %).","Exemple : couverture vaccinale = 5300 / 7500 = 70,7 %."
"Qu’est-ce qu’un ratio ?","Rapport entre les effectifs de deux classes d’une même variable, de même nature mais exclusives (le numérateur ne fait pas partie du dénominateur). Sans unité.","Exemple : sex-ratio H/F = 49/51 ≈ 0,96."
"Qu’est-ce qu’une cote ?","Ratio de la probabilité de survenue d’un événement sur la probabilité de non-survenue (variable binaire).","Exemple : cote d’exposition chez les cas = 53/22 = 2,4 (2,4 exposés pour 1 non exposé)."
"Qu’est-ce qu’un indice ?","Même principe que le ratio, mais numérateur et dénominateur sont de natures différentes.","Exemple : 850 lits / 10 médecins = 85 lits pour 1 médecin."
"Qu’est-ce qu’un taux ?","Mesure de la vitesse ou de la probabilité de survenue d’un événement au cours du temps. Numérateur = individus ayant subi l’événement pendant la période ; dénominateur = population à risque pendant la période.","Exemple : taux de mortalité par SIDA = 120 / 100 000 habitants / année."
"Calculez la proportion d’enfants vaccinés : 5300 vaccinés sur 7500 enfants de moins de 5 ans.","P = 5300 / 7500 = 0,707 = 70,7 %.","C’est la couverture vaccinale."
"Calculez la cote d’exposition : 53 cas exposés et 22 cas non exposés.","Cote = 53 / 22 ≈ 2,41 (environ 2,4 exposés pour 1 non exposé).","Utilisée notamment dans le calcul de l’Odds Ratio."
"Pourquoi les fréquences relatives sont-elles préférées aux fréquences absolues pour la décision ?","Parce qu’elles tiennent compte de la taille de la population et permettent une comparaison valide entre districts ou périodes.","Une fréquence absolue élevée dans une grande population peut correspondre à un risque plus faible."
"Résumez les cinq mesures de base et leur formule.","Proportion = a/(a+b) ; Ratio = a/b (même nature, exclusifs) ; Cote = probabilité survenue / non-survenue ; Indice = a/b (natures différentes) ; Taux = a/(population à risque) avec prise en compte du temps.","Ces mesures constituent le langage de base de l’épidémiologie."
