"question","answer","explanation"
"Quelle est la définition de la prostatite aiguë ?","État inflammatoire aigu de la prostate, le plus souvent d’origine infectieuse, pouvant engager le pronostic vital.","Elle complique fréquemment une infection urinaire ou génitale."
"Quelles sont les trois voies possibles d’infection de la prostate ?","Voie ascendante (urogène – la plus fréquente), voie hématogène et voie lymphatique (à partir du rectum).","La voie ascendante est favorisée par l’anatomie commune des voies urinaires et génitales."
"Quels sont les principaux facteurs favorisants urologiques de la prostatite aiguë ?","Reflux intra-prostatique d’urine infectée, stase urinaire (sténose, neurovessie, calcul, tumeur), gestes endo-urologiques et biopsie prostatique transrectale.","Ils représentent environ 80 % des cas."
"Quel est le tableau clinique typique de la prostatite aiguë bactérienne ?","Début brutal chez un homme jeune : fièvre élevée (39,5-40 °C) avec frissons + signes urinaires (brûlures, pollakiurie, dysurie ou rétention) + douleurs pelviennes et ténesme rectal.","L’association fièvre + troubles mictionnels est très évocatrice."
"Quels sont les caractères du toucher rectal au cours d’une prostatite aiguë ?","Prostate très douloureuse, augmentée de volume, molle ou succulente ; le doigt donne l’impression de s’enfoncer.","Il ne faut jamais masser la prostate en phase aiguë (risque de décharge bactériémique)."
"Quels examens bactériologiques sont indispensables devant une prostatite aiguë ?","ECBU, frottis urétral si écoulement, et hémocultures si fièvre ≥ 38,5 °C ou frissons.","L’antibiothérapie est débutée après les prélèvements."
"Quelles sont les principales complications de la prostatite aiguë ?","Abcès prostatique, épididymite aiguë, septicémie/choc septique et passage à la chronicité.","L’abcès se voit surtout chez les patients VIH ou en cas de traitement insuffisant."
"Quel est le traitement antibiotique de la prostatite aiguë ?","Bithérapie initiale (C3G ou β-lactamine + aminoside) puis relais oral (fluoroquinolones de préférence) pour une durée totale ≥ 4 semaines.","Une durée insuffisante expose au passage à la chronicité."
"Comment draine-t-on les urines en cas de rétention au cours d’une prostatite aiguë ?","Par cathéter sus-pubien (jamais de sondage urétral).","Le sondage urétral aggraverait l’infection prostatique."
"Quel est le traitement d’un abcès prostatique ?","Drainage chirurgical associé à l’antibiothérapie.","Le diagnostic est évoqué devant une fièvre oscillante, des douleurs périnéales et une fluctuation au TR."
