"question","answer","explanation"
"Quels sont les objectifs pédagogiques du développement somatique de l’enfant ?","Citer les éléments intervenant dans le développement staturo-pondéral, définir les repères de croissance, évaluer le développement somatique et repérer une anomalie.","Ces objectifs couvrent la surveillance systématique de la croissance."
"Quels sont les facteurs endogènes de régulation de la croissance ?","Facteurs génétiques (taille des parents) et facteurs endocriniens (hormone de croissance/IGF, hormones thyroïdiennes, hormones sexuelles).","Ils agissent principalement sur les cartilages de croissance."
"Quels sont les facteurs exogènes influençant la croissance ?","Facteurs nutritionnels (apports caloriques et ration équilibrée), psychologiques (carence affective → nanisme psychoaffectif) et socio-économiques.","Une carence nutritionnelle touche d’abord le poids puis la taille."
"Quels sont les principaux repères de croissance pondérale ?","Perte possible de 10 % du PN récupérée en < 10 jours ; PN × 2 à 5 mois ; PN × 3 à 1 an ; PN × 4 à 2 ans ; puis +1 à 2 kg/an jusqu’à 7 ans.","Ces repères permettent de repérer rapidement un ralentissement ou une accélération anormale."
"Quels sont les principaux repères de croissance staturale ?","Naissance 50 cm ; 6 mois 65 cm ; 1 an 75 cm ; 2 ans 82 cm ; 4 ans 100 cm (TN × 2) ; puis 5-6 cm/an jusqu’à 12 ans.","La mesure se fait couché avant 2 ans et debout après."
"Quels sont les repères de périmètre crânien ?","Naissance 35 cm ; formule jusqu’à 1 an : (taille/2) + 10 ; 2 ans ≈ 49 cm ; 3 ans ≈ 50 cm ; adulte ≈ 57 cm. Fermeture des fontanelles entre 10 et 24 mois (en moyenne 18 mois).","Toute accélération ou arrêt brutal de la croissance du PC est pathologique."
"Comment calcule-t-on la taille cible génétique ?","(Taille père + taille mère)/2 + 6,5 cm pour un garçon ou – 6,5 cm pour une fille.","C’est un élément important pour interpréter une petite ou grande taille."
"Quels sont les indicateurs anthropométriques utilisés ?","Poids pour l’âge (P/A), taille pour l’âge (T/A) et poids pour la taille (P/T).","Ils permettent de distinguer une malnutrition aiguë d’une malnutrition chronique."
"Quels sont les indices de maturation osseuse et dentaire ?","Âge osseux (radiographie du poignet gauche) et dentition (1ère dent vers 6 mois, dentition temporaire complète vers 30 mois, chute vers 6 ans).","L’âge osseux est un excellent marqueur de la maturation globale."
"Quel est le message clé de la surveillance du développement somatique ?","La surveillance de la croissance staturo-pondérale est un temps essentiel de l’examen de l’enfant : le poids dépiste les pathologies récentes, la taille les pathologies chroniques.","Les courbes doivent être régulièrement mises à jour."
