"question","answer","explanation"
"Qu’est-ce que l’ICAM ?","Ensemble des manifestations cliniques provoquées par la consommation d’animaux marins contenant des toxines (présentes dans la peau, la chair, la tête ou les viscères).","Plusieurs types existent selon l’animal incriminé."
"Quels sont les principaux types d’ICAM et les animaux concernés ?","Ciguatéra (poissons de récifs), carchatoxisme (requins), chélonitoxisme (tortues), clupéotoxisme (sardines), tétrodotoxisme (poissons-ballons), scombrotoxisme (thons, bonites), xanthitoxisme (crabes).","La ciguatéra est la plus fréquente en zone tropicale."
"Quel est le mécanisme de la ciguatéra ?","Prolifération de l’algue Gambierdiscus toxicus sur les récifs agressés → production de ciguatoxines qui s’accumulent dans la chaîne alimentaire (surtout les grands carnivores).","Les toxines sont liposolubles et résistent à la cuisson."
"Quels sont les signes cliniques typiques de la ciguatéra ?","Signes digestifs (vomissements, diarrhée), troubles neurologiques (picotements, perturbation de la sensibilité thermique, possible paralysie), fatigue intense, bradycardie, hypersudation.","Les picotements et démangeaisons palmo-plantaires peuvent persister des mois."
"Quel est le traitement de référence de la ciguatéra ?","Mannitol 20 % en perfusion (dose max 1 g/kg).","L’effet est surtout symptomatique (douleurs et troubles digestifs)."
"Quels sont les signes de gravité du carchatoxisme ?","Troubles cardiaques sévères (bradycardie, troubles du rythme, collapsus), troubles neurologiques sévères et risque élevé de dépression respiratoire.","Il est plus grave que la ciguatéra classique."
"Quelles sont les mesures de prévention primaire de l’ICAM ?","Éviter de pêcher certaines espèces en période chaude (novembre-mars), réaliser un test de consommabilité, ne pas manger tête/foie/viscères, éviter l’alcool et les sauces riches.","La cuisson n’inactive pas les toxines."
"Quels sont les impacts du changement climatique sur l’ICAM ?","Réchauffement et acidification des océans → blanchissement des coraux → prolifération d’algues toxiques → augmentation du risque de ciguatéra et autres intoxications.","Les populations littorales dépendantes des ressources marines sont les plus vulnérables."
"Pourquoi les oméga-3 des poissons sont-ils intéressants pour la santé ?","Rôle structurel (membranes du cerveau et de la rétine) et fonctionnel (médiateurs de l’inflammation et de l’agrégation plaquettaire) ; prévention cardiovasculaire et de certaines maladies neurodégénératives.","L’OMS recommande au moins deux portions de produits aquatiques par semaine."
"Quel est le principal signe spécifique de la ciguatoxine mentionné dans le cours ?","Démangeaison palmo-plantaire (« la gratte ») associée à des douleurs articulaires et une faiblesse des membres.","Il aide au diagnostic différentiel avec les autres toxines marines."
