"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la vaccination chez l’enfant ?","Argumenter les bénéfices de la vaccination, appliquer le PEV à Madagascar et conseiller la vaccination à la population.","La vaccination est un acte vital de prévention et un devoir médical."
"Contre quelles maladies le PEV protège-t-il jusqu’à 2 ans ?","Tuberculose, diphtérie, tétanos, coqueluche, poliomyélite, méningite à Hib, infections à pneumocoque, diarrhée à rotavirus, rougeole, hépatite B (9 vaccins, 10 maladies).","Les vaccins du PEV sont gratuits."
"Quels sont les principes du rattrapage vaccinal ?","Toujours s’informer des doses déjà reçues ; pour l’hépatite B et le tétanos s’aider de la sérologie si disponible ; refaire les doses manquantes selon l’âge.","Le rattrapage vise les enfants non vaccinés ou de statut inconnu."
"Quelles sont les contre-indications des vaccins vivants atténués ?","Immunodépression (corticothérapie prolongée, déficit immunitaire, asplénie, chimiothérapie), encéphalite. Vaccins concernés : ROR, BCG, rotavirus, varicelle.","Ces vaccins sont contre-indiqués chez l’immunodéprimé."
"Quelles sont les particularités vaccinales du prématuré ?","Vaccins à l’âge chronologique (dès 6 semaines) ; coqueluche sous surveillance hospitalière si < 33 SA ou < 1500 g (risque d’apnée) ; BCG avant la sortie.","L’âge chronologique prime sur l’âge corrigé."
"Quelle est la conduite chez le nouveau-né de mère HBs positive ?","Vaccination anti-hépatite B dans les 48 premières heures de vie, puis poursuite du calendrier de routine.","C’est une urgence préventive."
"Quelles sont les recommandations pour les enfants à risque d’infection invasive à pneumocoque ?","Selon l’âge et le statut vaccinal : Prevenar ± Pneumo 23 ; rappel tous les 5 ans après 5 ans. Terrains : drépanocytose, asplénie, cardiopathie cyanogène, asthme sévère, corticothérapie, chimio.","Ces enfants nécessitent une protection renforcée."
"Quels vaccins hors PEV sont recommandés dans certaines situations ?","Grippe (terrain à risque), ROR (2 doses après 18 mois), hépatite A (contact), fièvre typhoïde (zone d’endémie), HPV (filles et garçons 11-14 ans avant les rapports).","Ces vaccins complètent le PEV selon le contexte."
"Quels sont les rappels importants du DTC-polio ?","6 ans, 11-13 ans et 25 ans avec des vaccins combinés.","Ils maintiennent une protection durable."
"Quel est le message clé de conclusion ?","La vaccination sauve des vies ; appliquer strictement le PEV ; vérifier le statut vaccinal à chaque contact ; conseiller et rattraper les doses manquantes ; respecter les contre-indications des vaccins vivants.","L’immunisation collective protège toute la population."
