"question","réponse","explication"
"Quels sont les arguments cliniques orientant vers une maladie de Hirschsprung chez un nouveau-né ?","Retard d’émission du méconium (> 24 h) ; tableau d’occlusion digestive basse avec vomissements bilieux ou verdâtres ; abdomen distendu et luisant ; tympanisme important ; débâcle de selles liquides au toucher rectal ou à la montée d’une sonde rectale.","Explication"
"Quels sont les deux arguments cliniques à rechercher en cas de suspicion de maladie de Hirschsprung chez un nouveau-né présentant une occlusion digestive basse ?","1. Retard d’émission du méconium. 2. Débâcle de selles liquides au toucher rectal ou à la montée d’une sonde rectale.","Explication"
"Que recherche-t-on sur la radiographie d’abdomen sans préparation (ASP) en cas de suspicion de maladie de Hirschsprung ?","Aéroiléocolie ; dilatation colique avec absence d’aération du rectum ; parfois niveaux hydro-aériques grêliques et coliques.","Explication"
"Décrire la physiopathologie liée à l’absence de réflexe recto-anal inhibiteur (RAI) dans la maladie de Hirschsprung.","Absence de cellules ganglionnaires → absence d’inhibition du tonus permanent du sphincter interne → absence de relâchement sphinctérien → obstacle fonctionnel → arrêt du péristaltisme → dilatation du segment sain sus-jacent (mégacôlon) et rétrécissement permanent du segment malade.","Explication"
"Que montre la manométrie anorectale en cas de maladie de Hirschsprung ?","Absence de réflexe recto-anal inhibiteur (RAI). Attention : la présence du RAI élimine le diagnostic, mais son absence ne l’affirme pas à elle seule.","Explication"
"Quels sont les résultats attendus de l’examen histologique d’une biopsie rectale en cas de maladie de Hirschsprung ?","Absence de cellules ganglionnaires ; hypertrophie des plexus de Meissner (sous-muqueux) et d’Auerbach (myentérique) ; augmentation de l’acétylcholinestérase dans la zone aganglionnaire.","Explication"
"Quels sont les principes du traitement de la maladie de Hirschsprung ?","1. Nursing (lavages coliques quotidiens) en attente de la chirurgie. 2. Chirurgie de décompression (colostomie) en cas d’échec du nursing ou de complication. 3. Chirurgie d’abaissement définitive (techniques de Swenson, Duhamel, Soave…).","Explication"
"Quelles sont les formes cliniques de la maladie de Hirschsprung selon l’âge ?","Forme néonatale (occlusion) ; forme du nourrisson (constipation rebelle, entérocolite, perforation) ; forme du grand enfant (constipation chronique, encoprésie, ventre de batracien, fécalome, retentissement staturo-pondéral).","Explication"
"Quels sont les diagnostics différentiels principaux d’une occlusion digestive basse néonatale faisant évoquer une maladie de Hirschsprung ?","Iléus méconial (mucoviscidose) ; bouchon méconial ; syndrome du petit côlon gauche ; pseudo-obstruction intestinale chronique (POIC).","Explication"
"Quelles sont les principales complications évolutives possibles de la maladie de Hirschsprung ?","Entérocolite ulcéro-nécrosante ; perforation diastatique avec péritonite ; incontinence fécale ; sténose ; souillures ; prolapsus.","Explication"
