"question","answer","explanation"
"Qu’est-ce qu’un néphroblastome ?","Tumeur rénale la plus fréquente de l’enfant, tumeur à blastème embryonnaire reproduisant le tissu dérivé du métanéphros.","Elle touche principalement les enfants de 1 à 5 ans (maximum vers 3 ans et demi) et évolue très rapidement."
"Quelles sont les populations à risque de néphroblastome ?","Enfants porteurs d’une hémi-hypertrophie corporelle, d’un syndrome de Wiedemann-Beckwith ou d’une aniridie.","Ces situations justifient une surveillance particulière."
"Quels sont les stades de la classification SIOP du néphroblastome ?","Stade I : tumeur limitée au rein, encapsulée, d’exérèse complète. Stade II : tumeur franchissant la capsule mais d’exérèse totale. Stade III : exérèse incomplète, tumeur rompue ou ganglions hilaires envahis. Stade IV : métastases hématogènes. Stade V : néphroblastome bilatéral synchrone.","Cette classification guide le protocole thérapeutique."
"Quelle est la composition microscopique du néphroblastome ?","Triple composante : blastémateuse (cellules indifférenciées), épithéliale (simulant la néphrogenèse normale) et stromale (cellules indifférenciées, muscle strié, cartilage, os…).","L’histologie confirme le diagnostic après la chirurgie."
"Quels sont les signes cliniques du néphroblastome ?","Masse abdominale volumineuse, ferme, lisse, indolore, à développement antérieur dans l’hypochondre (découverte fortuite dans 80 % des cas). Autres signes possibles : hématurie, HTA, douleur abdominale.","La masse est fragile et doit être palpée avec précaution pour éviter la rupture."
"Que montre l’échographie dans le néphroblastome ?","Masse tumorale intra-rénale déformant les contours du rein, pleine, solide (hyperéchogène), souvent hétérogène avec des plages hypoéchogènes (nécrose).","L’échographie est généralement suffisante pour porter le diagnostic et débuter le traitement."
"Quels sont les principes du traitement du néphroblastome ?","Chimiothérapie de réduction tumorale dès le diagnostic clinique et iconographique, puis urétéronéphrectomie (« en sandwich »), suivie d’une chimiothérapie post-opératoire ± radiothérapie selon le stade.","La chimiothérapie préopératoire diminue le risque de rupture tumorale."
"Quel est le protocole thérapeutique selon le stade SIOP ?","Stade I : chimiothérapie post-opératoire à 2 drogues (vincristine-actinomycine D). Stade II : 3 drogues (vincristine-actinomycine D-adriamycine). Stade III : radiothérapie + chimiothérapie. Stade IV : chimiothérapie pré et post-opératoire + traitement des métastases. Stade V : néphrectomies partielles bilatérales.","Le traitement est adapté à l’extension de la tumeur."
"Quel est le pronostic du néphroblastome ?","Guérison dans environ 90 % des formes standards. Les métastases et récidives locales surviennent surtout dans les 2 premières années (particulièrement stades III).","La surveillance doit être poursuivie jusqu’à l’âge adulte pour détecter d’éventuelles séquelles."
"Pourquoi le néphroblastome est-il une urgence diagnostique et thérapeutique ?","Parce que son évolution est très rapide et que la tumeur est fragile (risque de rupture). Le diagnostic iconographique permet de débuter la chimiothérapie sans attendre la preuve histologique.","Tout retard expose à une progression ou à une rupture tumorale."
