"question","answer","explanation"
"Quels sont les objectifs pédagogiques de l’infection urinaire de l’enfant ?","Poser le diagnostic positif, décrire les signes de pyélonéphrite et de cystite, citer les principaux germes et prendre en charge.","Elle touche 1 % des enfants de moins de 2 ans."
"Comment confirme-t-on une infection urinaire ?","Bandelette positive (leucocytes ± nitrites) puis ECBU : leucocyturie > 10⁴/ml et bactériurie ≥ 10⁵ UFC/ml. Chez le nouveau-né la BU négative n’élimine pas le diagnostic.","Le recueil doit être soigneux (milieu de jet, collecteur changé toutes les 30 min ou ponction sus-pubienne)."
"Quels sont les éléments permettant de distinguer pyélonéphrite aiguë et cystite ?","PNA : fièvre > 38,5 °C, signes généraux, douleurs lombo-abdominales, CRP élevée, volume rénal augmenté. Cystite : fièvre absente ou < 38 °C, signes vésicaux au premier plan, CRP normale, reins normaux.","La PNA expose au risque de cicatrices rénales."
"Quels sont les principaux germes responsables de pyélonéphrite ?","Escherichia coli (75 %), Proteus mirabilis, Klebsiella, Staphylococcus saprophyticus et autres cocci à Gram positif.","E. coli domine largement."
"Quels sont les facteurs favorisants d’infection urinaire selon l’âge ?","Nourrisson : couches, immaturité vésicale, prépuce étroit. Enfant : troubles mictionnels, vulvite, constipation, oxyurose, hygiène défectueuse. Tout âge : sondage, immunodépression, dérivation urinaire.","Chez le garçon un prépuce étroit est un facteur classique."
"Quelle est la particularité de la pyélonéphrite du nouveau-né ?","Souvent bilatérale par reflux massif, tableau de sepsis grave, troubles digestifs, déshydratation, parfois ictère. La recherche d’infection urinaire fait partie du bilan de tout nouveau-né infecté.","Le risque d’insuffisance rénale est réel."
"Quel est le traitement probabiliste d’une pyélonéphrite aiguë ?","Céphalosporine de 3ᵉ génération (50 mg/kg/j) pendant 3 jours IV puis relais oral, durée totale 10-15 jours, ± aminoside les premières 48 h. Hospitalisation systématique avant 3 mois.","Les AINS sont formellement contre-indiqués."
"Quel est le traitement d’une cystite ?","Cotrimoxazole pendant 8 jours (ou autre antibiotique selon l’antibiogramme).","Les cystites récidivantes imposent la recherche d’un trouble mictionnel."
"Quand réalise-t-on une échographie de l’appareil urinaire ?","Dès le premier épisode d’infection urinaire pour rechercher une malformation, et dans les 72 h du traitement pour dépister une complication (abcès).","La scintigraphie est réservée aux formes récidivantes (recherche de reflux)."
"Quel est le message clé de conclusion ?","Le diagnostic repose sur la BU et l’ECBU. La cystite est non fébrile, la PNA est fébrile. Il faut rechercher un reflux en cas de PNA récidivante. Le traitement antibiotique précoce prévient les cicatrices rénales.","Ne jamais utiliser d’AINS."
