"question","answer","explanation"
"Quels sont les objectifs pédagogiques des céphalées de l’enfant ?","Énumérer les étapes de la démarche diagnostique et citer les étiologies inhabituelles.","La démarche clinique est essentielle car les céphalées sont un symptôme fréquent."
"Quelles sont les trois grandes catégories de céphalées selon la classification internationale ?","Céphalées primaires (migraine, céphalées de tension…), céphalées secondaires (tumeur, méningite…) et névralgies crâniennes.","Cette classification oriente le bilan."
"Quels éléments de l’interrogatoire sont prioritaires devant une céphalée de l’enfant ?","Antécédents familiaux (migraine, tumeur, malformation vasculaire), caractéristiques de la douleur (mode de début, localisation, horaire, durée, type, intensité), contexte de survenue, signes associés et retentissement (sommeil, scolarité).","L’interrogatoire représente 80 % du diagnostic."
"Quels signes d’examen physique recherchez-vous systématiquement ?","Constantes (dont PA), état général, examen neurologique complet (fontanelle, PC, raideur méningée, fond d’œil, paires crâniennes, signes de localisation, syndrome cérébelleux), examen ORL et examen général.","Tout signe neurologique focal ou d’HTIC impose une imagerie urgente."
"Quand demandez-vous une imagerie cérébrale en urgence devant une céphalée ?","Céphalée d’installation progressive (surtout matinale ou nocturne), signes d’HTIC, diplopie, éclipses visuelles, changement de comportement, diminution des performances scolaires, ou tout signe de localisation.","La tumeur de la fosse postérieure est la hantise."
"Quelles sont les caractéristiques de la migraine de l’enfant ?","Céphalée récurrente, durée 1-48 h, souvent antérieure et bilatérale, troubles digestifs prédominants, pâleur inaugurale fréquente, facteurs déclenchants (stress, manque de sommeil, stimuli sensoriels), ATCD familiaux fréquents.","C’est la première cause de céphalée récurrente de l’enfant (prévalence 3-10 %)."
"Quelles étiologies évoquez-vous devant une céphalée aiguë fébrile ?","Méningite/encéphalite (PL), infection virale banale, sinusite ou autre infection ORL.","La PL est indiquée si signes méningés ou doute."
"Quelles étiologies évoquez-vous devant une céphalée aiguë non fébrile ?","Traumatisme crânien, hypoglycémie, hémorragie méningée, hypertension artérielle, première crise migraineuse (après élimination des causes urgentes).","L’hémorragie méningée reste une urgence extrême même si rare."
"Quelles sont les causes de céphalées chroniques quotidiennes de l’enfant ?","Troubles de la réfraction, sinusite/otite chronique, dysfonction temporo-mandibulaire, pathologie dentaire, malformation rachidienne, céphalées de tension.","La correction de la cause extra-crânienne fait souvent disparaître les céphalées."
"Quel est le message clé de la démarche diagnostique des céphalées de l’enfant ?","L’interrogatoire et l’examen clinique orientent la majorité des diagnostics ; les examens complémentaires ne sont pas systématiques et sont guidés par la clinique.","Les céphalées secondaires graves doivent être éliminées en priorité."
